tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw,norm_abund,classified_fraction
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,87883,87883,Burkholderia_multivorans,Burkholderia multivorans,species,0.0,abund,0.0,23330748,77,77,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,114525,114525,Saccharomyces_mikatae,Saccharomyces mikatae,species,0.0,abund,0.0,10582489,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,158836,158836,Enterobacter_hormaechei,Enterobacter hormaechei,species,0.0,abund,0.0,45563741,15,15,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,166486,166486,Roseburia_intestinalis,Roseburia intestinalis,species,4.9999999999999996e-05,abund,5e-07,4300352,1,1,species,4.9999999999999996e-05,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,208224,208224,Enterobacter_kobei,Enterobacter kobei,species,0.0,abund,0.0,10657087,3,3,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,208962,208962,Escherichia_albertii,Escherichia albertii,species,0.0,abund,0.0,62442243,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,216816,216816,Bifidobacterium_longum,Bifidobacterium longum,species,0.00026000000000000003,abund,2.6e-06,3143527,5,1,species,0.00026000000000000003,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,239935,239935,Akkermansia_muciniphila,Akkermansia muciniphila,species,0.43767,abund,0.0043767,22042729,56137,38010,species,0.43767,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,301301,301301,Roseburia_hominis,Roseburia hominis,species,8.647920000000001,abund,0.0864792,3592125,160420,160026,species,8.647920000000001,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,301302,301302,Roseburia_faecis,Roseburia faecis,species,5.9999999999999995e-05,abund,6e-07,3385415,1,1,species,5.9999999999999995e-05,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,411483,411483,Faecalibacterium_duncaniae,Faecalibacterium duncaniae,species,0.0,abund,0.0,3110044,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,411486,411486,Clostridium_sp._M62/1,Clostridium_sp._M62/1,species,0.0,abund,0.0,3923895,4,4,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,413503,413503,Cronobacter_malonaticus,Cronobacter malonaticus,species,0.0,abund,0.0,6788226,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,418223,418223,Methylobacterium_phyllosphaerae,Methylobacterium phyllosphaerae,species,0.0,abund,0.0,6316624,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,423477,423477,Veillonella_rogosae,Veillonella rogosae,species,38.0669,abund,0.380669,2205714,465157,465154,species,38.0669,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,538949,538949,uncultured_Alistipes_sp.,uncultured Alistipes_sp.,species,0.0,abund,0.0,3377718,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,544580,544580,Actinomyces_oris,Actinomyces oris,species,0.00020999999999999998,abund,2.1e-06,3154798,278,278,species,0.00020999999999999998,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1454229,1454229,Bifidobacterium_faecale,Bifidobacterium faecale,species,0.0,abund,0.0,2213206,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1463165,1463165,Klebsiella_quasipneumoniae,Klebsiella quasipneumoniae,species,0.0,abund,0.0,30892639,1,0,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1686378,1686378,Citrobacter_sp._MGH103,Citrobacter_sp._MGH103,species,0.0,abund,0.0,5406561,1,1,species,0.0,1.0
