tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw,norm_abund,classified_fraction
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,54062,54062,Pediococcus_parvulus,Pediococcus parvulus,species,0.0,abund,0.0,8325328,1,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,54297,54297,Limnospira_fusiformis,Limnospira fusiformis,species,0.0,abund,0.0,6012077,2,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,54736,54736,Salmonella_bongori,Salmonella bongori,species,0.0,abund,0.0,5066118,1,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,55583,55583,Dehalobacter_restrictus,Dehalobacter restrictus,species,0.0,abund,0.0,3182571,3,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,56426,56426,Bartonella_clarridgeiae,Bartonella clarridgeiae,species,0.0,abund,0.0,1528245,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,57487,57487,Pseudothermotoga_hypogea,Pseudothermotoga hypogea,species,0.0,abund,0.0,2165416,8,8,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,61635,61635,Paracholeplasma_brassicae,Paracholeplasma brassicae,species,0.0,abund,0.0,1877792,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,62320,62320,Haloterrigena_turkmenica,Haloterrigena turkmenica,species,0.0,abund,0.0,5440782,2,2,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,66883,66883,Streptomyces_cyaneofuscatus,Streptomyces cyaneofuscatus,species,0.0,abund,0.0,8505222,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,67280,67280,Streptomyces_bobili,Streptomyces bobili,species,0.0,abund,0.0,9925366,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,67304,67304,Streptomyces_griseorubiginosus,Streptomyces griseorubiginosus,species,0.0,abund,0.0,19543353,1,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,68231,68231,Streptomyces_longwoodensis,Streptomyces longwoodensis,species,0.0,abund,0.0,17143853,1,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,68334,68334,Erwinia_aphidicola,Erwinia aphidicola,species,0.0,abund,0.0,169563158,2,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,69223,69223,Musicola_paradisiaca,Musicola paradisiaca,species,0.0,abund,0.0,4653408,1,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,69823,69823,Selenomonas_sputigena,Selenomonas sputigena,species,0.0,abund,0.0,2654473,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,69966,69966,Macrococcoides_caseolyticum,Macrococcoides caseolyticum,species,0.0,abund,0.0,3321205,6,5,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,70255,70255,Staphylococcus_condimenti,Staphylococcus condimenti,species,0.0,abund,0.0,2708286,1,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,71452,71452,Enterococcus_raffinosus,Enterococcus raffinosus,species,0.0,abund,0.0,8641529,5,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,71998,71998,Thermococcus_pacificus,Thermococcus pacificus,species,0.0,abund,0.0,1785673,2,2,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,74426,74426,Collinsella_aerofaciens,Collinsella aerofaciens,species,0.80314,abund,0.0080314,2393724,13967,13665,species,0.8031398393720321,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,76259,76259,Ferribacterium_limneticum,Ferribacterium limneticum,species,0.0,abund,0.0,17000930,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,76853,76853,Solibacillus_silvestris,Solibacillus silvestris,species,0.0,abund,0.0,3969327,2,2,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,76857,76857,Fusobacterium_polymorphum,Fusobacterium polymorphum,species,0.0,abund,0.0,8967733,2,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,76859,76859,Fusobacterium_animalis,Fusobacterium animalis,species,0.0,abund,0.0,4570042,1,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,78535,78535,Streptococcus_viridans,Streptococcus viridans,species,0.0,abund,0.0,1998575,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,79209,79209,Desulfosporosinus_meridiei,Desulfosporosinus meridiei,species,0.0,abund,0.0,4873567,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,79263,79263,Paenibacillus_chitinolyticus,Paenibacillus chitinolyticus,species,0.0,abund,0.0,6509090,1,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,79329,79329,Chitinophaga_pinensis,Chitinophaga pinensis,species,0.0,abund,0.0,9127347,6,6,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,79880,79880,Shouchella_clausii,Shouchella clausii,species,0.0,abund,0.0,6650866,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,79883,79883,Sutcliffiella_horikoshii,Sutcliffiella horikoshii,species,0.0,abund,0.0,8368071,3,2,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,80869,80869,Paracidovorax_citrulli,Paracidovorax citrulli,species,0.0,abund,0.0,15840721,4,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,81028,81028,Treponema_brennaborense,Treponema brennaborense,species,0.0,abund,0.0,3055580,2,2,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,81947,81947,Vagococcus_lutrae,Vagococcus lutrae,species,0.0,abund,0.0,4121959,3,3,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,82116,82116,Acetobacterium_dehalogenans,Acetobacterium dehalogenans,species,0.0,abund,0.0,4140558,3,3,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,82348,82348,Streptococcus_pluranimalium,Streptococcus pluranimalium,species,0.0,abund,0.0,2246024,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,82367,82367,Paracoccus_pantotrophus,Paracoccus pantotrophus,species,0.0,abund,0.0,4626003,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,82688,82688,Liquorilactobacillus_nagelii,Liquorilactobacillus nagelii,species,0.0,abund,0.0,2555196,2,2,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,83451,83451,Archangium_violaceum,Archangium violaceum,species,0.0,abund,0.0,13332545,2,2,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,83559,83559,Chlamydia_suis,Chlamydia suis,species,0.0,abund,0.0,20533370,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,83564,83564,Desulfosarcina_ovata,Desulfosarcina ovata,species,0.0,abund,0.0,8021889,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,83655,83655,Leclercia_adecarboxylata,Leclercia adecarboxylata,species,0.0,abund,0.0,9697677,2,2,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,83656,83656,Streptomyces_tsukubensis,Streptomyces tsukubensis,species,0.0,abund,0.0,8319989,1,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,83771,83771,Succinivibrio_dextrinosolvens,Succinivibrio dextrinosolvens,species,0.0,abund,0.0,3468545,2,2,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,83984,83984,Methanocorpusculum_labreanum,Methanocorpusculum labreanum,species,0.0,abund,0.0,1804962,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,84023,84023,Clostridium_autoethanogenum,Clostridium autoethanogenum,species,0.0,abund,0.0,4351178,1,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,84030,84030,Lacrimispora_saccharolytica,Lacrimispora saccharolytica,species,0.0,abund,0.0,4670420,140,138,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,84110,84110,Slackia_heliotrinireducens,Slackia heliotrinireducens,species,0.0,abund,0.0,3165598,1,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,84112,84112,Eggerthella_lenta,Eggerthella lenta,species,0.30432,abund,0.0030432,13942320,20157,9559,species,0.3043199391360122,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,84135,84135,Gemella_sanguinis,Gemella sanguinis,species,0.73878,abund,0.0073878,1796606,10397,10378,species,0.7387798522440296,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,84163,84163,Cryptobacterium_curtum,Cryptobacterium curtum,species,0.0,abund,0.0,1617804,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,84377,84377,Brachyspira_intermedia,Brachyspira intermedia,species,0.0,abund,0.0,3308048,2,2,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,84378,84378,Brachyspira_murdochii,Brachyspira murdochii,species,0.0,abund,0.0,3241804,8,8,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,86332,86332,Mogibacterium_pumilum,Mogibacterium pumilum,species,0.0,abund,0.0,1839617,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,88058,88058,Treponema_primitia,Treponema primitia,species,0.0,abund,0.0,4059867,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,88431,88431,Dorea_longicatena,Dorea longicatena,species,0.91783,abund,0.0091783,3442572,17540,16319,species,0.9178298164340368,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,89014,89014,Blautia_luti,Blautia luti,species,1.06429,abund,0.0106429,3741599,21214,21209,species,1.0642897871420427,1.0000002
