tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28116,28116,Bacteroides_ovatus,Bacteroides ovatus,species,0.02484,abund,0.0002484,6857275,114,90,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28117,28117,Alistipes_putredinis,Alistipes putredinis,species,0.006830000000000001,abund,6.83e-05,2576134,7,7,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28118,28118,Odoribacter_splanchnicus,Odoribacter splanchnicus,species,0.00194,abund,1.94e-05,4392720,7,3,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28127,28127,Hoylesella_buccalis,Hoylesella buccalis,species,0.0,abund,0.0,3308059,4,4,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28128,28128,Prevotella_corporis,Prevotella corporis,species,6.02433,abund,0.0602433,2947105,28284,28186,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28132,28132,Prevotella_melaninogenica,Prevotella melaninogenica,species,0.0,abund,0.0,11519673,1,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28901,28901,Salmonella_enterica,Salmonella enterica,species,0.013760000000000001,abund,0.0001376,5432593,70,67,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,29347,29347,[Clostridium]_scindens,[Clostridium]_scindens,species,0.0,abund,0.0,11968617,1,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,29360,29360,Cellulosilyticum_lentocellum,Cellulosilyticum lentocellum,species,0.00269,abund,2.69e-05,4714237,2,2,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,29466,29466,Veillonella_parvula,Veillonella parvula,species,0.00092,abund,9.2e-06,2163492,7,7,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,31965,31965,Clavibacter_tessellarius,Clavibacter tessellarius,species,0.0,abund,0.0,3366694,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,33035,33035,Blautia_producta,Blautia producta,species,0.0,abund,0.0,6275977,1,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,33038,33038,Mediterraneibacter_gnavus,Mediterraneibacter gnavus,species,0.0013499999999999999,abund,1.35e-05,40026036,37,19,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,33039,33039,[Ruminococcus]_torques,[Ruminococcus]_torques,species,0.0,abund,0.0,3128780,3,3,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,33962,33962,Lentilactobacillus_kefiri,Lentilactobacillus kefiri,species,0.0,abund,0.0,2543072,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,34061,34061,Moraxella_cuniculi,Moraxella cuniculi,species,0.0,abund,0.0,2202865,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,35703,35703,Citrobacter_amalonaticus,Citrobacter amalonaticus,species,0.0,abund,0.0,8016967,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,37734,37734,Enterococcus_casseliflavus,Enterococcus casseliflavus,species,0.0,abund,0.0,7138620,2,2,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,39491,39491,Agathobacter_rectalis,Agathobacter rectalis,species,3.9999999999999996e-05,abund,4e-07,3571899,6,4,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,39496,39496,Eubacterium_ventriosum,Eubacterium ventriosum,species,0.0,abund,0.0,2856089,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,39777,39777,Veillonella_atypica,Veillonella atypica,species,0.0,abund,0.0,2071952,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,39778,39778,Veillonella_dispar,Veillonella dispar,species,0.0,abund,0.0,2116915,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,40520,40520,Blautia_obeum,Blautia obeum,species,0.0,abund,0.0,3611763,4,4,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,40545,40545,Sutterella_wadsworthensis,Sutterella wadsworthensis,species,0.00272,abund,2.72e-05,3026517,8,4,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,42374,42374,Candida_dubliniensis,Candida dubliniensis,species,0.0007700000000000001,abund,7.7e-06,11255432,5,5,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,43765,43765,Corynebacterium_amycolatum,Corynebacterium amycolatum,species,0.0,abund,0.0,5182643,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,44251,44251,Paenibacillus_durus,Paenibacillus durus,species,0.0,abund,0.0,5814491,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,46228,46228,[Ruminococcus]_lactaris,[Ruminococcus]_lactaris,species,0.0,abund,0.0,2733858,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,46503,46503,Parabacteroides_merdae,Parabacteroides merdae,species,0.03129,abund,0.0003129,4588480,76,14,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,46506,46506,Bacteroides_stercoris,Bacteroides stercoris,species,0.06956,abund,0.0006956,4371348,171,151,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,47678,47678,Bacteroides_caccae,Bacteroides caccae,species,0.00509,abund,5.09e-05,5261272,19,11,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,47715,47715,Lacticaseibacillus_rhamnosus,Lacticaseibacillus rhamnosus,species,0.0,abund,0.0,5217019,5,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,53442,53442,Eubacterium_callanderi,Eubacterium callanderi,species,0.0,abund,0.0,13635247,2,2,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,53443,53443,Blautia_hydrogenotrophica,Blautia hydrogenotrophica,species,0.0,abund,0.0,3597785,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,55211,55211,Erwinia_persicina,Erwinia persicina,species,0.0,abund,0.0,5070450,1,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,55601,55601,Vibrio_anguillarum,Vibrio anguillarum,species,0.0,abund,0.0,16015801,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,56426,56426,Bartonella_clarridgeiae,Bartonella clarridgeiae,species,0.0,abund,0.0,1528245,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,57706,57706,Citrobacter_braakii,Citrobacter braakii,species,0.0,abund,0.0,74660107,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,61645,61645,Enterobacter_asburiae,Enterobacter asburiae,species,0.0,abund,0.0,10529636,4,4,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,63577,63577,Trichoderma_atroviride,Trichoderma atroviride,species,0.0,abund,0.0,33645939,2,2,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,66228,66228,Gleimia_europaea,Gleimia europaea,species,0.0,abund,0.0,2080063,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,69823,69823,Selenomonas_sputigena,Selenomonas sputigena,species,0.0,abund,0.0,2654473,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,71452,71452,Enterococcus_raffinosus,Enterococcus raffinosus,species,0.0,abund,0.0,8641529,3,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,76517,76517,Campylobacter_hominis,Campylobacter hominis,species,0.00452,abund,4.52e-05,1716514,5,5,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,76857,76857,Fusobacterium_polymorphum,Fusobacterium polymorphum,species,0.0,abund,0.0,8967733,8,6,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,76859,76859,Fusobacterium_animalis,Fusobacterium animalis,species,0.13285,abund,0.0013285,4570042,865,710,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,77643,77643,Mycobacterium_tuberculosis_complex,Mycobacterium tuberculosis_complex,species,0.0,abund,0.0,4402722,51,51,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,84112,84112,Eggerthella_lenta,Eggerthella lenta,species,0.00015999999999999999,abund,1.6e-06,13942320,5,3,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,86332,86332,Mogibacterium_pumilum,Mogibacterium pumilum,species,0.0,abund,0.0,1839617,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,86661,86661,Bacillus_cereus_group,Bacillus cereus_group,species,0.0,abund,0.0,5991373,8,7,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,87882,87882,Burkholderia_cepacia_complex,Burkholderia cepacia_complex,species,1.9999999999999998e-05,abund,2e-07,8230808,19,19,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,87883,87883,Burkholderia_multivorans,Burkholderia multivorans,species,1.9999999999999998e-05,abund,2e-07,23330748,19,19,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,88431,88431,Dorea_longicatena,Dorea longicatena,species,0.0,abund,0.0,3442572,3,3,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,96241,96241,Bacillus_spizizenii,Bacillus spizizenii,species,0.0,abund,0.0,4127439,6,3,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,105841,105841,Anaerostipes_caccae,Anaerostipes caccae,species,0.0,abund,0.0,3534392,1,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,107709,107709,Opitutus_terrae,Opitutus terrae,species,0.0,abund,0.0,5957605,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,114186,114186,Candidatus_Carsonella_ruddii,Candidatus Carsonella_ruddii,species,0.0,abund,0.0,227326,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,114525,114525,Saccharomyces_mikatae,Saccharomyces mikatae,species,0.0,abund,0.0,10582489,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,131110,131110,Schaalia_radingae,Schaalia radingae,species,0.0,abund,0.0,2430193,3,3,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,133448,133448,Citrobacter_youngae,Citrobacter youngae,species,0.0,abund,0.0,6000265,3,3,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,133926,133926,Olsenella_uli,Olsenella uli,species,0.0,abund,0.0,2051896,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,136841,136841,Pseudomonas_aeruginosa_group,Pseudomonas aeruginosa_group,species,0.0,abund,0.0,7263586,26,19,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,136845,136845,Pseudomonas_putida_group,Pseudomonas putida_group,species,0.00105,abund,1.05e-05,6049899,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,138074,138074,Serratia_symbiotica,Serratia symbiotica,species,0.0,abund,0.0,2724435,1,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,154046,154046,Hungatella_hathewayi,Hungatella hathewayi,species,0.0,abund,0.0,6296958,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,155615,155615,Fusobacterium_vincentii,Fusobacterium vincentii,species,0.0,abund,0.0,2700978,4,4,species
