tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,lineage_raw,query_name,query_md5,query_filename,fraction_raw,f_weighted_raw,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,216816,Bifidobacterium longum,Bifidobacterium longum,species,1.07912195662049,abund_weighted,0.0107912195662049,Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0039547708467071,0.0107912195662049,3912000,0.8365420660959951,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,2763667,Lachnospiraceae bacterium NSJ-29,Lachnospiraceae bacterium NSJ-29,species,0.8949452193391201,abund_weighted,0.0089494521933912,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;;Lachnospiraceae bacterium NSJ-29,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0038870383194245,0.0089494521933912,3845000,0.8360760221233196,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,411486,Clostridium sp. M62/1,Clostridium sp. M62/1,species,0.9291925577031099,abund_weighted,0.0092919255770311,Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium sp. M62/1,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0037172015345966,0.0092919255770311,3677000,0.8348719587601083,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.8600752020957799,abund_weighted,0.0086007520209578,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0037111359351385,0.0086007520209578,3671000,0.8348279783842891,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,39488,Anaerobutyricum hallii,Anaerobutyricum hallii,species,0.85191227116186,abund_weighted,0.0085191227116186,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerobutyricum;Anaerobutyricum hallii,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.003472555689785,0.0085191227116186,3435000,0.8330404765926962,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,328813,Alistipes onderdonkii,Alistipes onderdonkii,species,0.8244657536832101,abund_weighted,0.0082446575368321,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes onderdonkii,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0034422276924943,0.0082446575368321,3405000,0.832804786732182,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,169435,Anaerotruncus colihominis,Anaerotruncus colihominis,species,0.7769183836307,abund_weighted,0.007769183836307,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Anaerotruncus;Anaerotruncus colihominis,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0034017903627733,0.007769183836307,3365000,0.8324873880504929,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,2763672,Lachnospiraceae bacterium sunii NSJ-8,Lachnospiraceae bacterium sunii NSJ-8,species,0.8068069698392801,abund_weighted,0.0080680696983928,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;;Lachnospiraceae bacterium sunii NSJ-8,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.003387637297371,0.0080680696983928,3351000,0.8323754353076288,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,1099853,Coprobacter fastidiosus,Coprobacter fastidiosus,species,0.7669847096336401,abund_weighted,0.0076698470963364,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0033765170316978,0.0076698470963364,3340000,0.8322871544442304,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,40520,Blautia obeum,Blautia obeum,species,0.81721738235333,abund_weighted,0.0081721738235333,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia obeum,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0033734842319687,0.0081721738235333,3337000,0.8322630290117826,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,84112,Eggerthella lenta,Eggerthella lenta,species,0.7725693608327701,abund_weighted,0.0077256936083277,Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella;Eggerthella lenta,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0033724732987257,0.0077256936083277,3336000,0.8322549825364632,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,1898203,Lachnospiraceae bacterium,Lachnospiraceae bacterium,species,0.80558107079557,abund_weighted,0.0080558107079557,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;;Lachnospiraceae bacterium,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0033664076992675,0.0080558107079557,3330000,0.8322066546108463,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,1796613,Bacteroides caecimuris,Bacteroides caecimuris,species,0.80986198809107,abund_weighted,0.0080986198809107,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecimuris,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0033279922360326,0.0080986198809107,3292000,0.8318986066897587,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,301301,Roseburia hominis,Roseburia hominis,species,0.7985078279004999,abund_weighted,0.007985078279005,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia hominis,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0033259703695466,0.007985078279005,3290000,0.8318822984693305,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,1335613,Gordonibacter urolithinfaciens,Gordonibacter urolithinfaciens,species,0.7369891004926801,abund_weighted,0.0073698910049268,Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Gordonibacter;Gordonibacter urolithinfaciens,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0032653143749652,0.0073698910049268,3230000,0.8313885370185692,10278171
