cohort,db_mode,tool,rank,n_files,root,pattern,out_name
ont_qiagen,default,Centrifuge,genus,8,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,Centrifuge-results/*_report.tsv,ont_qiagen_Centrifuge_default_genus.tsv
ont_qiagen,default,Centrifuger,species,8,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,Centrifuger-results/*_report.tsv,ont_qiagen_Centrifuger_default_species.tsv
ont_qiagen,default,Centrifuger,genus,8,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,Centrifuger-results/*_report.tsv,ont_qiagen_Centrifuger_default_genus.tsv
ont_qiagen,default,sourmash,species,8,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,sourmash-results/*-report.csv.summarized.csv,ont_qiagen_sourmash_default_species.tsv
ont_qiagen,default,sourmash,genus,8,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,sourmash-results/*-report.csv.summarized.csv,ont_qiagen_sourmash_default_genus.tsv
ont_qiagen,default,sylph,species,8,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,sylph-results/*.fastq.sylphmpa,ont_qiagen_sylph_default_species.tsv
ont_qiagen,default,sylph,genus,8,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,sylph-results/*.fastq.sylphmpa,ont_qiagen_sylph_default_genus.tsv
ont_qiagen,default,ganon2,species,8,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,ganon2-results/*.tre,ont_qiagen_ganon2_default_species.tsv
ont_qiagen,default,ganon2,genus,8,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,ganon2-results/*.tre,ont_qiagen_ganon2_default_genus.tsv
ont_qiagen,unified,Kraken2,species,8,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,Kraken2-results/*_report.tsv,ont_qiagen_Kraken2_unified_species.tsv
ont_qiagen,unified,Kraken2,genus,8,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,Kraken2-results/*_report.tsv,ont_qiagen_Kraken2_unified_genus.tsv
ont_qiagen,unified,Centrifuge,species,8,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,Centrifuge-results/*_report.tsv,ont_qiagen_Centrifuge_unified_species.tsv
ont_qiagen,unified,Centrifuge,genus,8,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,Centrifuge-results/*_report.tsv,ont_qiagen_Centrifuge_unified_genus.tsv
ont_qiagen,unified,Centrifuger,species,8,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,Centrifuger-results/*_report.tsv,ont_qiagen_Centrifuger_unified_species.tsv
ont_qiagen,unified,Centrifuger,genus,8,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,Centrifuger-results/*_report.tsv,ont_qiagen_Centrifuger_unified_genus.tsv
ont_qiagen,unified,sourmash,species,8,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,sourmash-results/*-report.csv.summarized.csv,ont_qiagen_sourmash_unified_species.tsv
ont_qiagen,unified,sourmash,genus,8,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,sourmash-results/*-report.csv.summarized.csv,ont_qiagen_sourmash_unified_genus.tsv
ont_qiagen,unified,sylph,species,8,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,sylph-results/*.fastq.sylphmpa,ont_qiagen_sylph_unified_species.tsv
ont_qiagen,unified,sylph,genus,8,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,sylph-results/*.fastq.sylphmpa,ont_qiagen_sylph_unified_genus.tsv
ont_qiagen,unified,ganon2,species,8,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,ganon2-results/*.tre,ont_qiagen_ganon2_unified_species.tsv
ont_qiagen,unified,ganon2,genus,8,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,ganon2-results/*.tre,ont_qiagen_ganon2_unified_genus.tsv
ont_zymo,default,Kraken2,species,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,Kraken2-results/*_report.tsv,ont_zymo_Kraken2_default_species.tsv
ont_zymo,default,Kraken2,genus,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,Kraken2-results/*_report.tsv,ont_zymo_Kraken2_default_genus.tsv
ont_zymo,default,Centrifuge,species,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,Centrifuge-results/*_report.tsv,ont_zymo_Centrifuge_default_species.tsv
ont_zymo,default,Centrifuge,genus,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,Centrifuge-results/*_report.tsv,ont_zymo_Centrifuge_default_genus.tsv
ont_zymo,default,Centrifuger,species,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,Centrifuger-results/*_report.tsv,ont_zymo_Centrifuger_default_species.tsv
ont_zymo,default,Centrifuger,genus,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,Centrifuger-results/*_report.tsv,ont_zymo_Centrifuger_default_genus.tsv
ont_zymo,default,sourmash,species,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,sourmash-results/*-report.csv.summarized.csv,ont_zymo_sourmash_default_species.tsv
ont_zymo,default,sourmash,genus,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,sourmash-results/*-report.csv.summarized.csv,ont_zymo_sourmash_default_genus.tsv
