tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,2702,2702,Gardnerella vaginalis,Gardnerella vaginalis,species,0.40537,fraction_reads,0.40537,2702,1||201174|1760|85004|31953|2701|2702,5026,0,0,5026
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,28025,28025,Bifidobacterium animalis,Bifidobacterium animalis,species,0.0071,fraction_reads,0.0071,28025,1||201174|1760|85004|31953|1678|28025,88,0,0,88
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,28037,28037,Streptococcus mitis,Streptococcus mitis,species,0.46182,fraction_reads,0.46182,28037,1||1239|91061|186826|1300|1301|28037,5726,0,0,5726
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,28111,28111,Bacteroides eggerthii,Bacteroides eggerthii,species,0.98511,fraction_reads,0.98511,28111,1||976|200643|171549|815|816|28111,12214,0,0,12214
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,2.56665,fraction_reads,2.56665,28116,1||976|200643|171549|815|816|28116,31823,0,0,31823
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,28117,28117,Alistipes putredinis,Alistipes putredinis,species,0.61362,fraction_reads,0.61362,28117,1||976|200643|171549|171550|239759|28117,7608,0,0,7608
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,28118,28118,Odoribacter splanchnicus,Odoribacter splanchnicus,species,1.06165,fraction_reads,1.06165,28118,1||976|200643|171549|1853231|283168|28118,13163,0,0,13163
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,28125,28125,Prevotella bivia,Prevotella bivia,species,0.58805,fraction_reads,0.58805,28125,1||976|200643|171549|171552|838|28125,7291,0,0,7291
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,28128,28128,Prevotella corporis,Prevotella corporis,species,0.69895,fraction_reads,0.69895,28128,1||976|200643|171549|171552|838|28128,8666,0,0,8666
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,29347,29347,[Clostridium] scindens,[Clostridium] scindens,species,0.01734,fraction_reads,0.01734,29347,1||1239|186801|3085636|186803|1506553|29347,215,0,0,215
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,29389,29389,Streptococcus alactolyticus,Streptococcus alactolyticus,species,0.00202,fraction_reads,0.00202,29389,1||1239|91061|186826|1300|1301|29389,25,0,0,25
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,29466,29466,Veillonella parvula,Veillonella parvula,species,0.5132,fraction_reads,0.5132,29466,1||1239|909932|1843489|31977|29465|29466,6363,0,0,6363
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,33031,33031,Peptoniphilus lacrimalis,Peptoniphilus lacrimalis,species,0.40408,fraction_reads,0.40408,33031,1||1239|1737404|1737405|1570339|162289|33031,5010,0,0,5010
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,33038,33038,Mediterraneibacter gnavus,Mediterraneibacter gnavus,species,0.0021,fraction_reads,0.0021,33038,1||1239|186801|3085636|186803|2316020|33038,26,0,0,26
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,33039,33039,[Ruminococcus] torques,[Ruminococcus] torques,species,0.71363,fraction_reads,0.71363,33039,1||1239|186801|3085636|186803|2316020|33039,8848,0,0,8848
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,39485,39485,Lachnospira eligens,Lachnospira eligens,species,0.52062,fraction_reads,0.52062,39485,1||1239|186801|3085636|186803|28050|39485,6455,0,0,6455
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,39486,39486,Dorea formicigenerans,Dorea formicigenerans,species,0.75291,fraction_reads,0.75291,39486,1||1239|186801|3085636|186803|189330|39486,9335,0,0,9335
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,39488,39488,Anaerobutyricum hallii,Anaerobutyricum hallii,species,0.89332,fraction_reads,0.89332,39488,1||1239|186801|3085636|186803|2569097|39488,11076,0,0,11076
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,39490,39490,Eubacterium ramulus,Eubacterium ramulus,species,0.81614,fraction_reads,0.81614,39490,1||1239|186801|186802|186806|1730|39490,10119,0,0,10119
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,39491,39491,Agathobacter rectalis,Agathobacter rectalis,species,0.83824,fraction_reads,0.83824,39491,1||1239|186801|3085636|186803|1766253|39491,10393,0,0,10393
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,39496,39496,Eubacterium ventriosum,Eubacterium ventriosum,species,0.69008,fraction_reads,0.69008,39496,1||1239|186801|186802|186806|1730|39496,8556,0,0,8556
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,39777,39777,Veillonella atypica,Veillonella atypica,species,0.49925,fraction_reads,0.49925,39777,1||1239|909932|1843489|31977|29465|39777,6190,0,0,6190
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,40520,40520,Blautia obeum,Blautia obeum,species,0.88461,fraction_reads,0.88461,40520,1||1239|186801|3085636|186803|572511|40520,10968,0,0,10968
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,40545,40545,Sutterella wadsworthensis,Sutterella wadsworthensis,species,0.73347,fraction_reads,0.73347,40545,1||1224|28216|80840|995019|40544|40545,9094,0,0,9094
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,43675,43675,Rothia mucilaginosa,Rothia mucilaginosa,species,0.55724,fraction_reads,0.55724,43675,1||201174|1760|85006|1268|32207|43675,6909,0,0,6909
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,45851,45851,Eshraghiella crossota,Eshraghiella crossota,species,0.60039,fraction_reads,0.60039,45851,1||1239|186801|3085636|186803|3342669|45851,7444,0,0,7444
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,46503,46503,Parabacteroides merdae,Parabacteroides merdae,species,1.09004,fraction_reads,1.09004,46503,1||976|200643|171549|2005525|375288|46503,13515,0,0,13515
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,46506,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.8851,fraction_reads,0.8851,46506,1||976|200643|171549|815|816|46506,10974,0,0,10974
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,47678,47678,Bacteroides caccae,Bacteroides caccae,species,1.23134,fraction_reads,1.23134,47678,1||976|200643|171549|815|816|47678,15267,0,0,15267
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,74426,74426,Collinsella aerofaciens,Collinsella aerofaciens,species,0.59103,fraction_reads,0.59103,74426,1||201174|84998|84999|84107|102106|74426,7328,0,0,7328
