tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,norm_abund,classified_fraction
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,238,238,Elizabethkingia meningoseptica,Elizabethkingia meningoseptica,species,0.0,abund,0.0,15625789,2,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,246,246,Chryseobacterium balustinum,Chryseobacterium balustinum,species,0.0,abund,0.0,4974086,9,5,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,247,247,Empedobacter brevis,Empedobacter brevis,species,0.0,abund,0.0,7431270,11,5,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,250,250,Chryseobacterium gleum,Chryseobacterium gleum,species,0.0,abund,0.0,9292597,3,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,253,253,Chryseobacterium indologenes,Chryseobacterium indologenes,species,0.0,abund,0.0,35240523,17,7,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,254,254,Chryseobacterium indoltheticum,Chryseobacterium indoltheticum,species,0.0,abund,0.0,8445673,9,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,259,259,Sphingobacterium thalpophilum,Sphingobacterium thalpophilum,species,0.0,abund,0.0,5962893,7,5,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,263,263,Francisella tularensis,Francisella tularensis,species,0.0,abund,0.0,3018743,3,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,274,274,Thermus thermophilus,Thermus thermophilus,species,0.0,abund,0.0,2214494,8,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,277,277,Meiothermus ruber,Meiothermus ruber,species,0.0,abund,0.0,3097457,4,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,280,280,Xanthobacter autotrophicus,Xanthobacter autotrophicus,species,0.0,abund,0.0,5625098,19,11,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,285,285,Comamonas testosteroni,Comamonas testosteroni,species,0.0,abund,0.0,5856025,1,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,287,287,Pseudomonas aeruginosa,Pseudomonas aeruginosa,species,0.0,abund,0.0,6798896,53,24,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,292,292,Burkholderia cepacia,Burkholderia cepacia,species,0.0,abund,0.0,13565292,5,2,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,294,294,Pseudomonas fluorescens,Pseudomonas fluorescens,species,0.0,abund,0.0,6604895,30,11,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,296,296,Pseudomonas fragi,Pseudomonas fragi,species,0.0,abund,0.0,10253943,2,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,300,300,Pseudomonas mendocina,Pseudomonas mendocina,species,0.0,abund,0.0,5293211,11,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,301,301,Pseudomonas oleovorans,Pseudomonas oleovorans,species,0.0,abund,0.0,4686340,6,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,303,303,Pseudomonas putida,Pseudomonas putida,species,2.24365e-58,abund,2.24365e-60,6160317,34,5,2.268139143002646e-58,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,305,305,Ralstonia solanacearum,Ralstonia solanacearum,species,0.0,abund,0.0,5757294,18,10,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,316,316,Pseudomonas stutzeri,Pseudomonas stutzeri,species,0.0,abund,0.0,4548207,39,7,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,317,317,Pseudomonas syringae,Pseudomonas syringae,species,0.0,abund,0.0,8747300,16,2,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,329,329,Ralstonia pickettii,Ralstonia pickettii,species,0.0,abund,0.0,5505543,6,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,330,330,Pseudomonas pseudoalcaligenes,Pseudomonas pseudoalcaligenes,species,0.0,abund,0.0,6242949,2,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,337,337,Burkholderia glumae,Burkholderia glumae,species,0.0,abund,0.0,6878727,5,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,339,339,Xanthomonas campestris,Xanthomonas campestris,species,0.0,abund,0.0,7099366,13,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,343,343,Xanthomonas translucens,Xanthomonas translucens,species,0.0,abund,0.0,18687377,3,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,346,346,Xanthomonas citri,Xanthomonas citri,species,0.0,abund,0.0,27676482,42,4,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,347,347,Xanthomonas oryzae,Xanthomonas oryzae,species,0.0,abund,0.0,63225372,2,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,353,353,Azotobacter chroococcum,Azotobacter chroococcum,species,0.0,abund,0.0,5192286,4,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,354,354,Azotobacter vinelandii,Azotobacter vinelandii,species,0.0,abund,0.0,5365318,24,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,358,358,Agrobacterium tumefaciens,Agrobacterium tumefaciens,species,0.0,abund,0.0,7273300,49,5,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,359,359,Agrobacterium rhizogenes,Agrobacterium rhizogenes,species,0.0,abund,0.0,5482241,1,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,373,373,Agrobacterium vitis,Agrobacterium vitis,species,0.0,abund,0.0,6320946,1,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,375,375,Bradyrhizobium japonicum,Bradyrhizobium japonicum,species,0.0,abund,0.0,9207384,1,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,380,380,Sinorhizobium fredii,Sinorhizobium fredii,species,0.0,abund,0.0,6924988,4,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,384,384,Rhizobium leguminosarum,Rhizobium leguminosarum,species,0.0,abund,0.0,9364981,18,5,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,396,396,Rhizobium phaseoli,Rhizobium phaseoli,species,0.0,abund,0.0,6665454,6,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,398,398,Rhizobium tropici,Rhizobium tropici,species,0.0,abund,0.0,6686334,6,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,399,399,Neorhizobium galegae,Neorhizobium galegae,species,0.0,abund,0.0,6434105,16,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,405,405,Methylobacillus flagellatus,Methylobacillus flagellatus,species,0.0,abund,0.0,2971517,10,2,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,408,408,Methylobacterium extorquens,Methylobacterium extorquens,species,0.0,abund,0.0,8218505,2,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,414,414,Methylococcus capsulatus,Methylococcus capsulatus,species,0.0,abund,0.0,3304561,1,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,421,421,Methylomonas methanica,Methylomonas methanica,species,0.0,abund,0.0,5051681,1,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,426,426,Methylosinus trichosporium,Methylosinus trichosporium,species,0.0,abund,0.0,5183433,5,5,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,438,438,Acetobacter pasteurianus,Acetobacter pasteurianus,species,0.0,abund,0.0,3590557,9,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,442,442,Gluconobacter oxydans,Gluconobacter oxydans,species,0.0,abund,0.0,4181963,3,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,446,446,Legionella pneumophila,Legionella pneumophila,species,0.0,abund,0.0,12363603,13,3,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,450,450,Legionella longbeachae,Legionella longbeachae,species,0.0,abund,0.0,4149158,1,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,470,470,Acinetobacter baumannii,Acinetobacter baumannii,species,0.0,abund,0.0,4233127,22,2,0.0,0.9892029803029516
