tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1402861,1402861,Priestia_filamentosa,Priestia filamentosa,species,0.0,abund,0.0,4774961,6,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1404741,1404741,Tardiphaga_sp._37S4,Tardiphaga_sp._37S4,species,0.0,abund,0.0,6106775,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1406512,1406512,Candidatus_Methanomassiliicoccus_intestinalis,Candidatus Methanomassiliicoccus_intestinalis,species,0.0,abund,0.0,1910129,3,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1407071,1407071,Acinetobacter_sp._TGL-Y2,Acinetobacter_sp._TGL-Y2,species,0.0,abund,0.0,3640292,7,7,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1407499,1407499,Halobacterium_hubeiense,Halobacterium hubeiense,species,0.0,abund,0.0,3086087,2,2,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1408204,1408204,Candidatus_Endomicrobium_trichonymphae,Candidatus Endomicrobium_trichonymphae,species,0.0,abund,0.0,1097873,1,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1411117,1411117,Thermomonospora_amylolytica,Thermomonospora amylolytica,species,0.0,abund,0.0,6533370,2,2,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1411902,1411902,Pacificitalea_manganoxidans,Pacificitalea manganoxidans,species,0.0,abund,0.0,3912530,15,15,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1420916,1420916,Marinobacter_similis,Marinobacter similis,species,0.0,abund,0.0,3970682,12,12,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1424294,1424294,Geosporobacter_ferrireducens,Geosporobacter ferrireducens,species,0.0,abund,0.0,5730647,14,14,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1432056,1432056,Mannheimia_sp._USDA-ARS-USMARC-1261,Mannheimia_sp._USDA-ARS-USMARC-1261,species,0.0,abund,0.0,2364610,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1432792,1432792,Methylocaldum_marinum,Methylocaldum marinum,species,0.0,abund,0.0,6074107,10,10,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1434099,1434099,Methanosarcina_sp._Kolksee,Methanosarcina_sp._Kolksee,species,0.0,abund,0.0,4399171,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1435069,1435069,Vibrio_tritonius,Vibrio tritonius,species,0.0,abund,0.0,5196878,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1436133,1436133,Actinacidiphila_bryophytorum,Actinacidiphila bryophytorum,species,0.0,abund,0.0,7944810,16,16,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1436290,1436290,Candidatus_Symbiobacter_mobilis,Candidatus Symbiobacter_mobilis,species,0.0,abund,0.0,2979347,14,14,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1437009,1437009,Chenggangzhangella_methanolivorans,Chenggangzhangella methanolivorans,species,0.0,abund,0.0,5395831,4,4,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1437453,1437453,Streptomyces_leeuwenhoekii,Streptomyces leeuwenhoekii,species,0.0,abund,0.0,7704869,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1442136,1442136,Ectothiorhodospira_sp._BSL-9,Ectothiorhodospira_sp._BSL-9,species,0.0,abund,0.0,3539879,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1446467,1446467,Hymenobacter_swuensis,Hymenobacter swuensis,species,0.0,abund,0.0,5227756,9,9,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1450761,1450761,Aneurinibacillus_sp._XH2,Aneurinibacillus_sp._XH2,species,0.0,abund,0.0,3622497,3,3,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1452732,1452732,Paenibacillus_kyungheensis,Paenibacillus kyungheensis,species,0.0,abund,0.0,5217015,19,19,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1453352,1453352,Sediminicola_sp._YIK13,Sediminicola_sp._YIK13,species,0.0,abund,0.0,3524764,3,3,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1453760,1453760,Halovivax_limisalsi,Halovivax limisalsi,species,0.0,abund,0.0,3870082,13,13,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1457141,1457141,Chlamydia_avium,Chlamydia avium,species,0.0,abund,0.0,1027714,2,2,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1457365,1457365,Cyclonatronum_proteinivorum,Cyclonatronum proteinivorum,species,0.0,abund,0.0,4264436,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1459637,1459637,Candidatus_Nitrososphaera_evergladensis,Candidatus Nitrososphaera_evergladensis,species,0.0,abund,0.0,2937977,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1462527,1462527,Oceanobacillus_jeddahense,Oceanobacillus jeddahense,species,0.0,abund,0.0,5092109,32,32,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1462615,1462615,Halarcobacter_ebronensis,Halarcobacter ebronensis,species,0.0,abund,0.0,2967424,8,8,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1462996,1462996,Paenibacillus_yonginensis,Paenibacillus yonginensis,species,0.0,abund,0.0,4966176,5,5,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1463165,1463165,Klebsiella_quasipneumoniae,Klebsiella quasipneumoniae,species,0.0,abund,0.0,27061054,13,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1470067,1470067,Nitrosopumilus_ureiphilus,Nitrosopumilus ureiphilus,species,0.0,abund,0.0,2098670,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1470200,1470200,Neisseria_arctica,Neisseria arctica,species,0.0,abund,0.0,2357836,21,21,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1470347,1470347,Alistipes_ihumii,Alistipes ihumii,species,0.0,abund,0.0,2771027,139,139,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1471761,1471761,Novibacillus_thermophilus,Novibacillus thermophilus,species,0.0,abund,0.0,3610194,4,4,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1472345,1472345,Basilea_psittacipulmonis,Basilea psittacipulmonis,species,0.0,abund,0.0,1937800,3,3,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1472767,1472767,Lentibacillus_amyloliquefaciens,Lentibacillus amyloliquefaciens,species,0.0,abund,0.0,3826705,17,17,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1473112,1473112,Paenibacillus_guangzhouensis,Paenibacillus guangzhouensis,species,0.0,abund,0.0,6923722,11,11,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1476025,1476025,Heyndrickxia_vini,Heyndrickxia vini,species,0.0,abund,0.0,4223667,17,17,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1481923,1481923,Vibrio_astriarenae,Vibrio astriarenae,species,0.0,abund,0.0,4783033,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1482074,1482074,Hartmannibacter_diazotrophicus,Hartmannibacter diazotrophicus,species,0.0,abund,0.0,5439049,2,2,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1482561,1482561,Streptomyces_anulatus_subgroup,Streptomyces anulatus_subgroup,species,0.0,abund,0.0,8622122,18,18,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1483604,1483604,Kutzneria_chonburiensis,Kutzneria chonburiensis,species,0.0,abund,0.0,10311075,7,7,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1484118,1484118,Hymenobacter_sp._PAMC_26628,Hymenobacter_sp._PAMC_26628,species,0.0,abund,0.0,5252478,10,10,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1486245,1486245,Christiangramia_flava,Christiangramia flava,species,0.0,abund,0.0,3970316,2,2,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1486262,1486262,Martelella_endophytica,Martelella endophytica,species,0.0,abund,0.0,4806541,8,8,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1487865,1487865,Halovivax_cerinus,Halovivax cerinus,species,0.0,abund,0.0,3882786,2,2,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1492737,1492737,Flavobacterium_gilvum,Flavobacterium gilvum,species,0.0,abund,0.0,4234110,5,5,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1492898,1492898,Flavisolibacter_tropicus,Flavisolibacter tropicus,species,0.0,abund,0.0,5895510,5,5,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1497681,1497681,Listeria_newyorkensis,Listeria newyorkensis,species,0.0,abund,0.0,3310793,8,8,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1499973,1499973,Escherichia_marmotae,Escherichia marmotae,species,0.0,abund,0.0,9931045,2,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1500254,1500254,Aneurinibacillus_soli,Aneurinibacillus soli,species,0.0,abund,0.0,4087807,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1501268,1501268,Prochlorococcus_sp._MIT_0604,Prochlorococcus_sp._MIT_0604,species,0.0,abund,0.0,1678346,2,2,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1501392,1501392,Coprobacter_secundus,Coprobacter secundus,species,0.00106,abund,1.06e-05,4089503,1587,1587,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1501662,1501662,Streptococcus_parasuis,Streptococcus parasuis,species,0.0,abund,0.0,2178048,19,19,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1503041,1503041,Arcanobacterium_pinnipediorum,Arcanobacterium pinnipediorum,species,0.0,abund,0.0,1948279,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1503054,1503054,Burkholderia_stagnalis,Burkholderia stagnalis,species,0.0,abund,0.0,7151925,4,4,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1505597,1505597,Blochmannia_endosymbiont_of_Camponotus_(Colobopsis)_obliquus,Blochmannia endosymbiont_of Camponotus_(Colobopsis)_obliquus,species,0.0,abund,0.0,660820,7,7,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1508404,1508404,Jeotgalibacillus_malaysiensis,Jeotgalibacillus malaysiensis,species,0.0,abund,0.0,4089419,11,11,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1510150,1510150,Permianibacter_aggregans,Permianibacter aggregans,species,0.0,abund,0.0,4254882,3,3,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1511876,1511876,Ungulate_bocaparvovirus_4,Ungulate bocaparvovirus_4,species,0.0,abund,0.0,5165,21,21,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1521768,1521768,Bradyrhizobium_sp._WD16,Bradyrhizobium_sp._WD16,species,0.0,abund,0.0,5896921,16,16,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1524258,1524258,Aliamphritea_ceti,Aliamphritea ceti,species,0.0,abund,0.0,5193133,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1526571,1526571,Lacimicrobium_alkaliphilum,Lacimicrobium alkaliphilum,species,0.0,abund,0.0,4368029,2,2,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1529068,1529068,Paracoccus_tegillarcae,Paracoccus tegillarcae,species,0.0,abund,0.0,3942346,2,2,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1530123,1530123,Acinetobacter_seifertii,Acinetobacter seifertii,species,0.0,abund,0.0,30035103,30,29,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1532552,1532552,Anaerobacillus_isosaccharinicus,Anaerobacillus isosaccharinicus,species,0.0,abund,0.0,5134052,7,7,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1532905,1532905,Paenibacillus_sp._CAA11,Paenibacillus_sp._CAA11,species,0.0,abund,0.0,4872376,26,26,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1534743,1534743,Vibrio_hyugaensis,Vibrio hyugaensis,species,0.0,abund,0.0,5594040,9,9,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1536648,1536648,Candidatus_Dehalogenimonas_etheniformans,Candidatus Dehalogenimonas_etheniformans,species,0.0,abund,0.0,2063047,8,8,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1536769,1536769,Paenibacillus_sp._FSL_P4-0081,Paenibacillus_sp._FSL_P4-0081,species,0.0,abund,0.0,8384823,3,3,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1536772,1536772,Paenibacillus_sp._FSL_R7-0273,Paenibacillus_sp._FSL_R7-0273,species,0.0,abund,0.0,7256497,34,34,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1536773,1536773,Paenibacillus_sp._FSL_R7-0331,Paenibacillus_sp._FSL_R7-0331,species,0.0,abund,0.0,6899532,25,25,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1536774,1536774,Paenibacillus_sp._FSL_H7-0357,Paenibacillus_sp._FSL_H7-0357,species,0.0,abund,0.0,7658146,18,18,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1536775,1536775,Paenibacillus_sp._FSL_H7-0737,Paenibacillus_sp._FSL_H7-0737,species,0.0,abund,0.0,6732278,3,2,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1537400,1537400,Aquitalea_aquatilis,Aquitalea aquatilis,species,0.0,abund,0.0,4345942,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1538553,1538553,Methylomonas_denitrificans,Methylomonas denitrificans,species,0.0,abund,0.0,5154864,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1542390,1542390,Francisella_frigiditurris,Francisella frigiditurris,species,0.0,abund,0.0,1802896,8,8,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1543721,1543721,Sedimenticola_thiotaurini,Sedimenticola thiotaurini,species,0.0,abund,0.0,3952812,17,17,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1545044,1545044,Paracoccus_sanguinis,Paracoccus sanguinis,species,0.0,abund,0.0,3202271,2,2,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1545835,1545835,Marinitoga_sp._1137,Marinitoga_sp._1137,species,0.0,abund,0.0,2084612,4,4,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1547283,1547283,Bacillus_weihaiensis,Bacillus weihaiensis,species,0.0,abund,0.0,4298427,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1547445,1547445,Francisella_sp._FSC1006,Francisella_sp._FSC1006,species,0.0,abund,0.0,1968571,4,4,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1547448,1547448,Arachnia_rubra,Arachnia rubra,species,0.0,abund,0.0,3311967,2,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1547898,1547898,Haloplanus_rubicundus,Haloplanus rubicundus,species,0.0,abund,0.0,7219804,3,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1548602,1548602,Nesterenkonia_pannonica,Nesterenkonia pannonica,species,0.0,abund,0.0,2695971,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1550024,1550024,Ruthenibacterium_lactatiformans,Ruthenibacterium lactatiformans,species,1.1945000000000001,abund,0.011945,4388784,13394,13394,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1550579,1550579,Mucilaginibacter_gotjawali,Mucilaginibacter gotjawali,species,0.0,abund,0.0,6254499,4,4,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1552759,1552759,Mycobacterium_grossiae,Mycobacterium grossiae,species,0.0,abund,0.0,5591354,8,8,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1555112,1555112,Limnochorda_pilosa,Limnochorda pilosa,species,0.0,abund,0.0,3785396,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1560345,1560345,Sphingomonas_panacis,Sphingomonas panacis,species,0.0,abund,0.0,5234558,20,20,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1561924,1561924,Kangiella_profundi,Kangiella profundi,species,0.0,abund,0.0,2642758,6,6,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1563703,1563703,Agarivorans_aestuarii,Agarivorans aestuarii,species,0.0,abund,0.0,4671747,12,12,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1564138,1564138,Aliarcobacter_faecis,Aliarcobacter faecis,species,0.0,abund,0.0,2218928,27,27,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1565605,1565605,Rugosibacter_aromaticivorans,Rugosibacter aromaticivorans,species,0.0,abund,0.0,2924271,2,2,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1566351,1566351,Desulfuromonas_sp._AOP6,Desulfuromonas_sp._AOP6,species,0.0,abund,0.0,3254896,2,2,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1566358,1566358,Paenibacillus_sp._IHBB_10380,Paenibacillus_sp._IHBB_10380,species,0.0,abund,0.0,5753205,3,3,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1572644,1572644,Microbacterium_proteolyticum,Microbacterium proteolyticum,species,0.0,abund,0.0,3905037,3,3,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1574161,1574161,Proteus_terrae,Proteus terrae,species,0.0,abund,0.0,7972088,8,8,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1574269,1574269,Polaribacter_undariae,Polaribacter undariae,species,0.0,abund,0.0,4242029,18,18,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1576550,1576550,Candidatus_Kinetoplastibacterium_sorsogonicusi,Candidatus Kinetoplastibacterium_sorsogonicusi,species,0.0,abund,0.0,634714,3,3,species
