tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,clade_reads,direct_reads,norm_abund,classified_fraction
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,113107,Streptococcus australis,Streptococcus australis,species,0.5357800726497763,abund,0.54,55250000,55250000,0.5734973441943666,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,114527,Mogibacterium diversum,Mogibacterium diversum,species,0.4216807362733552,abund,0.42,43484000,43484000,0.45136576497643144,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,116090,Caloranaerobacter azorensis,Caloranaerobacter azorensis,species,0.6085879782688627,abund,0.61,62758000,62758000,0.6514307027502273,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,154046,Hungatella hathewayi,Hungatella hathewayi,species,1.6823785202509391,abund,1.68,173488000,173488000,1.8008128008975974,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,154288,Turicibacter sanguinis,Turicibacter sanguinis,species,0.7354781547507147,abund,0.74,75843000,75843000,0.7872535579318252,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,159268,uncultured Veillonella sp.,uncultured Veillonella sp.,species,0.04335697203288959,abund,0.04,4471000,4471000,0.04640916969942104,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,159272,uncultured Prevotella sp.,uncultured Prevotella sp.,species,0.02671627330588477,abund,0.03,2755000,2755000,0.028597016891501896,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,166486,Roseburia intestinalis,Roseburia intestinalis,species,1.1304814072257072,abund,1.13,116576000,116576000,1.2100638261864702,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,169435,Anaerotruncus colihominis,Anaerotruncus colihominis,species,0.8088485082288722,abund,0.81,83409000,83409000,0.8657889589485596,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,214856,Alistipes finegoldii,Alistipes finegoldii,species,0.18970978391398324,abund,0.19,19563000,19563000,0.20306477003573564,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,216816,Bifidobacterium longum,Bifidobacterium longum,species,1.1301613937886494,abund,1.13,116543000,116543000,1.209721284786318,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,249188,Haemophilus pittmaniae,Haemophilus pittmaniae,species,0.5026926130360005,abund,0.5,51837999,51837999,0.538080629047063,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,259315,uncultured Faecalibacterium sp.,uncultured Faecalibacterium sp.,species,0.08814915584409894,abund,0.09,9090000,9090000,0.09435458567831298,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,261299,Intestinibacter bartlettii,Intestinibacter bartlettii,species,0.6831511091033265,abund,0.68,70447000,70447000,0.7312428489857111,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,291644,Bacteroides salyersiae,Bacteroides salyersiae,species,0.01562247415454823,abund,0.02,1611000,1611000,0.016722248352889133,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,292800,Flavonifractor plautii,Flavonifractor plautii,species,1.0119988468019057,abund,1.01,104357999,104357999,1.0832404574106491,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,301301,Roseburia hominis,Roseburia hominis,species,0.8304251717880714,abund,0.83,85634000,85634000,0.8888845533527673,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,301302,Roseburia faecis,Roseburia faecis,species,0.7322780203801368,abund,0.73,75513000,75513000,0.7838281439303023,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,328812,Parabacteroides goldsteinii,Parabacteroides goldsteinii,species,1.8991827751691484,abund,1.9,195845000,195845000,2.0328794094795604,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,328813,Alistipes onderdonkii,Alistipes onderdonkii,species,0.8561329178983801,abund,0.86,88285000,88285000,0.9164020458316678,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,342942,Mediterraneibacter glycyrrhizinilyticus,Mediterraneibacter glycyrrhizinilyticus,species,0.016718277742049127,abund,0.02,1724000,1724000,0.017895193147350007,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,357276,Phocaeicola dorei,Phocaeicola dorei,species,1.8942855998444763,abund,1.89,195340000,195340000,2.027637488052988,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,371601,Bacteroides xylanisolvens,Bacteroides xylanisolvens,species,1.4450449184766294,abund,1.45,149014000,149014000,1.5467716424937439,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,387661,Parabacteroides johnsonii,Parabacteroides johnsonii,species,1.2288322035481332,abund,1.23,126718000,126718000,1.3153382164999412,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,410072,Coprococcus comes,Coprococcus comes,species,0.7580827402592509,abund,0.76,78174000,78174000,0.8114494368334916,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,411486,Clostridium sp. M62/1,Clostridium sp. M62/1,species,0.9593227052841948,abund,0.96,98926000,98926000,1.0268560773171385,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,418240,Blautia wexlerae,Blautia wexlerae,species,1.2753602178209589,abund,1.28,131516000,131516000,1.3651416600735984,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,423477,Veillonella rogosae,Veillonella rogosae,species,0.048574160794619535,abund,0.05,5009000,5009000,0.05199363252614628,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,454154,Paraprevotella clara,Paraprevotella clara,species,0.6854202952933727,abund,0.69,70681000,70681000,0.7336717789140638,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,487174,Barnesiella intestinihominis,Barnesiella intestinihominis,species,0.07605651717669001,abund,0.08,7842999,7842999,0.0814106623894855,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,544580,Actinomyces oris,Actinomyces oris,species,0.8136390124078584,abund,0.81,83903000,83903000,0.870916699908415,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,649756,Anaerostipes hadrus,Anaerostipes hadrus,species,0.5689838910887417,abund,0.57,58674000,58674000,0.609038609470774,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,671216,Peptoniphilus sp. oral taxon 836,Peptoniphilus sp. oral taxon 836,species,0.3671620834509653,abund,0.37,37862000,37862000,0.39300916644139566,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,671228,Veillonella sp. oral taxon 158,Veillonella sp. oral taxon 158,species,0.15972549459935684,abund,0.16,16471000,16471000,0.1709696788457088,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,674529,Bacteroides faecis,Bacteroides faecis,species,1.3512421919111761,abund,1.35,139341000,139341000,1.446365492079407,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,712411,Olsenella sp. oral taxon 807,Olsenella sp. oral taxon 807,species,0.7679934594311617,abund,0.77,79196000,79196000,0.8220578401957838,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,938288,Fenollaria massiliensis,Fenollaria massiliensis,species,0.16878284460578022,abund,0.17,17405000,17405000,0.18066463847426156,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1099853,Coprobacter fastidiosus,Coprobacter fastidiosus,species,0.7939145478328423,abund,0.79,81869000,81869000,0.8498036936081195,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1160721,Ruminococcus bicirculans,Ruminococcus bicirculans,species,0.703311955637967,abund,0.7,72526000,72526000,0.7528229571953055,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1226322,Oscillibacter sp. KLE 1728,Oscillibacter sp. KLE 1728,species,0.019656582936852428,abund,0.02,2027000,2027000,0.021040346003293773,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1297617,Intestinimonas butyriciproducens,Intestinimonas butyriciproducens,species,0.7599252418665534,abund,0.76,78364000,78364000,0.8134216448949747,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1335613,Gordonibacter urolithinfaciens,Gordonibacter urolithinfaciens,species,0.76742131419521,abund,0.77,79137000,79137000,0.8214454176924814,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1449050,Clostridium sp. KNHs205,Clostridium sp. KNHs205,species,0.1541882924005691,abund,0.15,15900000,15900000,0.1650426746188313,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1550024,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,species,1.0943586783456998,abund,1.09,112851000,112851000,1.1713981681389767,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1737424,Blautia massiliensis,Blautia massiliensis,species,0.2738151335988974,abund,0.27,28236000,28236000,0.2930908780212151,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1739304,Anaerosphaera sp. HMSC064C01,Anaerosphaera sp. HMSC064C01,species,0.020228718475427343,abund,0.02,2085999,2085999,0.021652758126553925,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1776392,Massilimicrobiota timonensis,Massilimicrobiota timonensis,species,0.027705396050322864,abund,0.03,2856999,2856999,0.029655770839202913,0.9342328749620027
