tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,norm_abund,classified_fraction
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,252307,252307,Robiginitalea biformata,Robiginitalea biformata,species,0.0,abund,0.0,3530383,19,15,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,252514,252514,Microbulbifer thermotolerans,Microbulbifer thermotolerans,species,0.0,abund,0.0,3938396,19,17,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,252966,252966,Mahella australiensis,Mahella australiensis,species,0.0,abund,0.0,3135972,48,29,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,252967,252967,Spirochaeta perfilievii,Spirochaeta perfilievii,species,0.0,abund,0.0,3700583,50,46,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,252970,252970,Paraburkholderia phenoliruptrix,Paraburkholderia phenoliruptrix,species,0.0,abund,0.0,7651131,25,11,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,253237,253237,Pseudomonas sp. phDV1,Pseudomonas sp. phDV1,species,0.0,abund,0.0,4727682,16,5,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,253239,253239,Ethanoligenens harbinense,Ethanoligenens harbinense,species,0.0,abund,0.0,6018091,358,0,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,253245,253245,Owenweeksia hongkongensis,Owenweeksia hongkongensis,species,0.0,abund,0.0,4000057,32,18,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,253703,253703,Paenibacillus antarcticus,Paenibacillus antarcticus,species,0.0,abund,0.0,5415779,65,56,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,254246,254246,Aquicella lusitana,Aquicella lusitana,species,0.0,abund,0.0,2624892,18,13,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,254247,254247,Aquicella siphonis,Aquicella siphonis,species,0.0,abund,0.0,2833188,2,2,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,255247,255247,Fictibacillus arsenicus,Fictibacillus arsenicus,species,0.0,abund,0.0,4055461,63,42,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,255248,255248,Leuconostoc garlicum,Leuconostoc garlicum,species,0.0,abund,0.0,1715191,27,15,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,255507,255507,Arcobacter cibarius,Arcobacter cibarius,species,0.0,abund,0.0,2343493,47,7,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,256618,256618,Parvibaculum lavamentivorans,Parvibaculum lavamentivorans,species,0.0,abund,0.0,3914745,1,1,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,256701,256701,Glutamicibacter arilaitensis,Glutamicibacter arilaitensis,species,0.0,abund,0.0,3918192,52,42,0.0,0.9267020492508667
