tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw,norm_abund,classified_fraction
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,133453,133453,Caldilinea_aerophila,Caldilinea aerophila,species,0.0,abund,0.0,5127052,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,133926,133926,Olsenella_uli,Olsenella uli,species,0.0,abund,0.0,2045254,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,136468,136468,Vibrio_lentus,Vibrio lentus,species,0.0,abund,0.0,5875541,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,137722,137722,Azospirillum_sp._B510,Azospirillum_sp._B510,species,0.0,abund,0.0,7488774,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,142649,142649,Metamycoplasma_phocicerebrale,Metamycoplasma phocicerebrale,species,0.0,abund,0.0,604487,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,154046,154046,Hungatella_hathewayi,Hungatella hathewayi,species,0.0,abund,0.0,6257885,4,3,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,154288,154288,Turicibacter_sanguinis,Turicibacter sanguinis,species,0.0,abund,0.0,2938462,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,155615,155615,Fusobacterium_vincentii,Fusobacterium vincentii,species,0.0,abund,0.0,1897574,2,2,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,155978,155978,Acaryochloris_marina,Acaryochloris marina,species,0.0,abund,0.0,7681842,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,158822,158822,Cedecea_neteri,Cedecea neteri,species,0.0,abund,0.0,9595101,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,158836,158836,Enterobacter_hormaechei,Enterobacter hormaechei,species,0.00063,abund,6.3e-06,44686190,45,38,species,0.0006348704723154149,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,160799,160799,Paenibacillus_borealis,Paenibacillus borealis,species,0.0,abund,0.0,8124035,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,163359,163359,Acidiferrobacter_thiooxydans,Acidiferrobacter thiooxydans,species,0.0,abund,0.0,3282843,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,164452,164452,Vulcanisaeta_souniana,Vulcanisaeta souniana,species,0.0,abund,0.0,2421524,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,164514,164514,Blattabacterium_punctulatus,Blattabacterium punctulatus,species,0.0,abund,0.0,2360571,2,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,168384,168384,Marvinbryantia_formatexigens,Marvinbryantia formatexigens,species,0.0,abund,0.0,4537266,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,169435,169435,Anaerotruncus_colihominis,Anaerotruncus colihominis,species,0.0,abund,0.0,3538167,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,169679,169679,Clostridium_saccharobutylicum,Clostridium saccharobutylicum,species,0.0,abund,0.0,7153590,1,0,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,170679,170679,Vibrio_chagasii,Vibrio chagasii,species,0.0,abund,0.0,5549012,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,171284,171284,Mycoplasmopsis_cynos,Mycoplasmopsis cynos,species,0.0,abund,0.0,897142,1,0,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,176292,176292,Secundilactobacillus_malefermentans,Secundilactobacillus malefermentans,species,0.0,abund,0.0,2074503,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,188913,188913,Cetobacterium_somerae,Cetobacterium somerae,species,0.0,abund,0.0,2728285,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,189381,189381,Rossellomorea_marisflavi,Rossellomorea marisflavi,species,0.0,abund,0.0,4525534,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,192389,192389,Chryseobacterium_daecheongense,Chryseobacterium daecheongense,species,0.0,abund,0.0,3701952,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,197162,197162,Deferribacter_desulfuricans,Deferribacter desulfuricans,species,0.0,abund,0.0,2383808,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,197482,197482,Malaciobacter_halophilus,Malaciobacter halophilus,species,0.0,abund,0.0,2571477,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,198119,198119,Paenibacillus_barcinonensis,Paenibacillus barcinonensis,species,0.0,abund,0.0,6363033,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,200415,200415,Caldisphaera_lagunensis,Caldisphaera lagunensis,species,0.0,abund,0.0,1456466,2,2,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,202862,202862,Streptomyces_drozdowiczii,Streptomyces drozdowiczii,species,0.0,abund,0.0,7158863,1,1,species,0.0,0.9923284000000001
