tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,lineage_raw,query_name,query_md5,query_filename,fraction_raw,f_weighted_raw,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes,norm_abund,classified_fraction
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,3073865,Enterobacter cloacae complex sp. EB5,Enterobacter cloacae complex sp. EB5,species,0.013664626405869998,abund_weighted,0.0001366462640587,;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex sp. EB5,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0006668368060986,0.0001366462640587,162000,0.7898579944301672,1236770,0.016396719103815353,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,216816,Bifidobacterium longum,Bifidobacterium longum,species,0.01390719373852,abund_weighted,0.0001390719373852,;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0006627205295178,0.0001390719373852,161000,0.7897002431788832,1236770,0.016687785123411417,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.01479660729157,abund_weighted,0.0001479660729157,;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0006544879763561,0.0001479660729157,159000,0.7893818757073233,1236770,0.017755027195263635,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,33038,Mediterraneibacter gnavus,Mediterraneibacter gnavus,species,0.011238953079390001,abund_weighted,0.0001123895307939,;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter gnavus,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0005680461681581,0.0001123895307939,138000,0.7857831249237496,1236770,0.013486058907878762,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,287,Pseudomonas aeruginosa,Pseudomonas aeruginosa,species,0.010268683748790001,abund_weighted,0.0001026868374879,;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0005186508491878,0.0001026868374879,126000,0.7834805667615475,1236770,0.012321794829494524,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,371601,Bacteroides xylanisolvens,Bacteroides xylanisolvens,species,0.009379270195751835,abund_weighted,9.379270195751836e-05,;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0004610229770558,9.379270195751836e-05,112000,0.7805094173025865,1236770,0.011254552757656506,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,96241,Bacillus spizizenii,Bacillus spizizenii,species,0.008813279752904744,abund_weighted,8.813279752904744e-05,;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus spizizenii,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0004322090409898,8.813279752904744e-05,105000,0.77888617457649,1236770,0.010575398711935855,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,395631,Phytobacter diazotrophicus,Phytobacter diazotrophicus,species,0.008328145087607234,abund_weighted,8.328145087607235e-05,;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Phytobacter;Phytobacter diazotrophicus,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0003951625517621,8.328145087607235e-05,96000,0.7766378879302357,1236770,0.009993266672746725,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,46503,Parabacteroides merdae,Parabacteroides merdae,species,0.00808557775495848,abund_weighted,8.08557775495848e-05,;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0003539997859536,8.08557775495848e-05,86000,0.7738869372872776,1236770,0.00970220065315216,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,2742625,Citrobacter sp. RHB35-C17,Citrobacter sp. RHB35-C17,species,0.006791885314165124,abund_weighted,6.791885314165123e-05,;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter sp. RHB35-C17,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0003457672327919,6.791885314165123e-05,84000,0.7732997426031439,1236770,0.008149848548647816,0.8333756478569164
