tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,500,500,Thermomicrobium roseum,Thermomicrobium roseum,species,0.0,abund,0.0,8653902,2,1
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,520,520,Bordetella pertussis,Bordetella pertussis,species,0.0014899099999999999,abund,1.48991e-05,3925493,831,23
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,529,529,Brucella anthropi,Brucella anthropi,species,0.00104986,abund,1.04986e-05,1875415,63,7
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,536,536,Chromobacterium violaceum,Chromobacterium violaceum,species,9.38915e-13,abund,9.38915e-15,1035563,173,11
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,542,542,Zymomonas mobilis,Zymomonas mobilis,species,4.27451e-15,abund,4.27451e-17,5654716,96,3
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,546,546,Citrobacter freundii,Citrobacter freundii,species,2.46057,abund,0.0246057,1035517,8858,4101
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,548,548,Klebsiella aerogenes,Klebsiella aerogenes,species,8.0524e-20,abund,8.0524e-22,2775578,4,1
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,549,549,Pantoea agglomerans,Pantoea agglomerans,species,0.015177800000000002,abund,0.000151778,5870648,3116,538
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,552,552,Erwinia amylovora,Erwinia amylovora,species,3.4595e-35,abund,3.4595e-37,5407467,3,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,553,553,Pantoea ananatis,Pantoea ananatis,species,1.11813e-36,abund,1.1181299999999999e-38,6227999,20,1
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,562,562,Escherichia coli,Escherichia coli,species,1.319030908,abund,0.01319030908,10835100,61671,29901
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,564,564,Escherichia fergusonii,Escherichia fergusonii,species,0.0581396,abund,0.000581396,10773854,3022,1972
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,566,566,Pseudescherichia vulneris,Pseudescherichia vulneris,species,0.0,abund,0.0,5254495,13,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,573,573,Klebsiella pneumoniae,Klebsiella pneumoniae,species,0.16277569,abund,0.0016277569,37677919,44063,28632
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,584,584,Proteus mirabilis,Proteus mirabilis,species,0.362641,abund,0.00362641,2497269,4407,2079
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,587,587,Providencia rettgeri,Providencia rettgeri,species,0.25487,abund,0.0025487,2843363,4002,2655
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,588,588,Providencia stuartii,Providencia stuartii,species,0.0,abund,0.0,9208590,6,2
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,615,615,Serratia marcescens,Serratia marcescens,species,0.0038899700000000004,abund,3.88997e-05,39140225,4017,1810
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,621,621,Shigella boydii,Shigella boydii,species,1.241804334e-23,abund,1.241804334e-25,5917168,34,5
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,622,622,Shigella dysenteriae,Shigella dysenteriae,species,8.28498e-35,abund,8.28498e-37,9492724,10,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,623,623,Shigella flexneri,Shigella flexneri,species,2.1360099999999998e-36,abund,2.13601e-38,9938737,20,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,624,624,Shigella sonnei,Shigella sonnei,species,0.000270878,abund,2.70878e-06,7853205,174,33
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,630,630,Yersinia enterocolitica,Yersinia enterocolitica,species,0.0,abund,0.0,19808934,10,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,632,632,Yersinia pestis,Yersinia pestis,species,0.136319135,abund,0.00136319135,6939953,5181,3492
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,638,638,Arsenophonus nasoniae,Arsenophonus nasoniae,species,0.0,abund,0.0,29241217,1,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,644,644,Aeromonas hydrophila,Aeromonas hydrophila,species,0.0,abund,0.0,2615419,63,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,645,645,Aeromonas salmonicida,Aeromonas salmonicida,species,3.757730000000352e-53,abund,3.757730000000352e-55,16650647,10,0
