tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,620,620,Shigella,Shigella,genus,0.00025,abund,0.00025,620,1||1224|1236|91347|543|620,0,0,8,8
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,816,816,Bacteroides,Bacteroides,genus,11.75389,abund,11.75389,816,1||976|200643|171549|815|816,0,0,380195,380195
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,838,838,Prevotella,Prevotella,genus,8.6257,abund,8.6257,838,1||976|200643|171549|171552|838,0,0,150921,150921
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,841,841,Roseburia,Roseburia,genus,5.10616,abund,5.10616,841,1||1239|186801|3085636|186803|841,0,0,112799,112799
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,848,848,Fusobacterium,Fusobacterium,genus,8.1751,abund,8.1751,848,1||32066|203490|203491|203492|848,0,0,108747,108747
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1279,1279,Staphylococcus,Staphylococcus,genus,7e-05,abund,7e-05,1279,1||1239|91061|1385|90964|1279,0,0,1,1
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1350,1350,Enterococcus,Enterococcus,genus,0.00094,abund,0.00094,1350,1||1239|91061|186826|81852|1350,0,0,17,17
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1654,1654,Actinomyces,Actinomyces,genus,0.00031,abund,0.00031,1654,1||201174|1760|2037|2049|1654,0,0,6,6
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1678,1678,Bifidobacterium,Bifidobacterium,genus,2.8279,abund,2.8279,1678,1||201174|1760|85004|31953|1678,0,0,38662,38662
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2132,2132,Spiroplasma,Spiroplasma,genus,0.01361,abund,0.01361,2132,1||544448|31969|186328|2131|2132,0,0,126,126
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2172,2172,Methanobrevibacter,Methanobrevibacter,genus,0.09882,abund,0.09882,2172,1||28890|183925|2158|2159|2172,0,0,1039,1039
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,4930,4930,Saccharomyces,Saccharomyces,genus,0.05703,abund,0.05703,4930,1||4890|4891|4892|4893|4930,0,0,3858,3858
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,5475,5475,Candida,Candida,genus,0.04921,abund,0.04921,5475,1||4890|3239874|2916678|766764|5475,0,0,4392,4392
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,29465,29465,Veillonella,Veillonella,genus,23.96885,abund,23.96885,29465,1||1239|909932|1843489|31977|29465,0,0,320770,320770
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,216851,216851,Faecalibacterium,Faecalibacterium,genus,22.35965,abund,22.35965,216851,1||1239|186801|186802|216572|216851,0,0,415425,415425
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,239934,239934,Akkermansia,Akkermansia,genus,2.3092,abund,2.3092,239934,1||74201|203494|48461|1647988|239934,0,0,39390,39390
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,375288,375288,Parabacteroides,Parabacteroides,genus,9e-05,abund,9e-05,375288,1||976|200643|171549|2005525|375288,0,0,3,3
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1766253,1766253,Agathobacter,Agathobacter,genus,0.0001,abund,0.0001,1766253,1||1239|186801|3085636|186803|1766253,0,0,2,2
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1870884,1870884,Clostridioides,Clostridioides,genus,2.38041,abund,2.38041,1870884,1||1239|186801|3082720|186804|1870884,0,0,52773,52773
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2742598,2742598,Limosilactobacillus,Limosilactobacillus,genus,1.84336,abund,1.84336,2742598,1||1239|91061|186826|33958|2742598,0,0,22682,22682
