taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
475	475	Moraxella	Moraxella	genus	0.00174803	abund	1.74803e-05	1035572	429672	421144	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
482	482	Neisseria	Neisseria	genus	0.16506899730000002	abund	0.0016506899730000001	1755348	254293	32519	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
497	497	Psychrobacter	Psychrobacter	genus	9.395107e-06	abund	9.395107000000001e-08	3710440	5899	1142	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
499	499	Thermomicrobium	Thermomicrobium	genus	0.0	abund	0.0	8653902	385	216	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
507	507	Alcaligenes	Alcaligenes	genus	4.29483e-05	abund	4.29483e-07	1035531	3421	620	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
517	517	Bordetella	Bordetella	genus	0.0010868375000000002	abund	1.0868375e-05	2349188	12262	4017	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
522	522	Acidiphilium	Acidiphilium	genus	0.00353168167	abund	3.53168167e-05	7230484	14934	8750	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
528	528	Ochrobactrum	Ochrobactrum	genus	0.0	abund	0.0	0	377	111	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
532	532	Beijerinckia	Beijerinckia	genus	0.0	abund	0.0	2209941	27	10	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
535	535	Chromobacterium	Chromobacterium	genus	0.364185	abund	0.00364185	1035563	45582	8882	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
538	538	Eikenella	Eikenella	genus	0.0	abund	0.0	0	481	152	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
541	541	Zymomonas	Zymomonas	genus	0.000293186	abund	2.93186e-06	14230655	2406	849	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
544	544	Citrobacter	Citrobacter	genus	11.25853224688	abund	0.1125853224688	4584307	156502	47651	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
