taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
204447	204447	                Skermanella	Skermanella	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1543704	1543704	                Niveispirillum	Niveispirillum	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2705399	2705399	                Hypericibacter	Hypericibacter	genus	0.0	abund	0.0	4	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
168934	168934	                Thalassospira	Thalassospira	genus	0.0	abund	0.0	3	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
288021	288021	                Kordiimonas	Kordiimonas	genus	0.0	abund	0.0	7	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1602338	1602338	                Emcibacter	Emcibacter	genus	0.0	abund	0.0	5	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
208215	208215	                Parvularcula	Parvularcula	genus	0.0	abund	0.0	3	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
441	441	                Gluconobacter	Gluconobacter	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2603324	2603324	                Acidibrevibacterium	Acidibrevibacterium	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
171436	171436	                Tistrella	Tistrella	genus	0.0	abund	0.0	2	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
76890	76890	                Asticcacaulis	Asticcacaulis	genus	0.0	abund	0.0	2	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2004661	2004661	                Hyphobacterium	Hyphobacterium	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
767891	767891	                Candidatus Puniceispirillum	Candidatus Puniceispirillum	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
32008	32008	                Burkholderia	Burkholderia	genus	0.0	abund	0.0	58	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
44013	44013	                Polynucleobacter	Polynucleobacter	genus	0.0	abund	0.0	35	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
106589	106589	                Cupriavidus	Cupriavidus	genus	0.0	abund	0.0	20	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1822464	1822464	                Paraburkholderia	Paraburkholderia	genus	0.0	abund	0.0	15	2	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1827195	1827195	                Caballeronia	Caballeronia	genus	0.0	abund	0.0	13	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
48736	48736	                Ralstonia	Ralstonia	genus	0.0	abund	0.0	5	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2038280	2038280	                Robbsia	Robbsia	genus	0.0	abund	0.0	4	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
47670	47670	                Lautropia	Lautropia	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2571160	2571160	                Trinickia	Trinickia	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
12916	12916	                Acidovorax	Acidovorax	genus	0.0	abund	0.0	66	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
52972	52972	                Polaromonas	Polaromonas	genus	0.0	abund	0.0	12	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
34072	34072	                Variovorax	Variovorax	genus	0.0	abund	0.0	11	7	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
28065	28065	                Rhodoferax	Rhodoferax	genus	0.0	abund	0.0	7	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
47420	47420	                Hydrogenophaga	Hydrogenophaga	genus	0.0	abund	0.0	4	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
174951	174951	                Ramlibacter	Ramlibacter	genus	0.0	abund	0.0	2	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
238749	238749	                Diaphorobacter	Diaphorobacter	genus	0.0	abund	0.0	1	1	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
283	283	                Comamonas	Comamonas	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1980697	1980697	                Duodenibacillus	Duodenibacillus	genus	0.0	abund	0.0	47	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1918598	1918598	                Turicimonas	Turicimonas	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
517	517	                Bordetella	Bordetella	genus	0.0	abund	0.0	22	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
222	222	                Achromobacter	Achromobacter	genus	0.0	abund	0.0	12	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
507	507	                Alcaligenes	Alcaligenes	genus	0.0	abund	0.0	1	1	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
149698	149698	                  Massilia	Massilia	genus	0.0	abund	0.0	14	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
34069	34069	                  Telluria	Telluria	genus	0.0	abund	0.0	3	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
212744	212744	                  Rugamonas	Rugamonas	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
963	963	                Herbaspirillum	Herbaspirillum	genus	0.0	abund	0.0	3	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
32012	32012	                Thiomonas	Thiomonas	genus	0.0	abund	0.0	2	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
54066	54066	                Xylophilus	Xylophilus	genus	0.0	abund	0.0	2	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
196013	196013	                Caldimonas	Caldimonas	genus	0.0	abund	0.0	2	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
482	482	                Neisseria	Neisseria	genus	0.0	abund	0.0	36	7	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1654931	1654931	                Crenobacter	Crenobacter	genus	0.0	abund	0.0	31	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
538	538	                Eikenella	Eikenella	genus	0.0	abund	0.0	17	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
334107	334107	                Conchiformibius	Conchiformibius	genus	0.0	abund	0.0	2	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
240411	240411	                Chitinimonas	Chitinimonas	genus	0.0	abund	0.0	4	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
230666	230666	                Chitinibacter	Chitinibacter	genus	0.0	abund	0.0	2	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
57739	57739	                Vogesella	Vogesella	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
400060	400060	                Paludibacterium	Paludibacterium	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2891322	2891322	                Parazoarcus	Parazoarcus	genus	0.0	abund	0.0	2	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1769726	1769726	                Niveibacterium	Niveibacterium	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
73029	73029	                Dechloromonas	Dechloromonas	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
314343	314343	                Sideroxydans	Sideroxydans	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
157591	157591	                Sterolibacterium	Sterolibacterium	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
119977	119977	                Acidithiobacillus	Acidithiobacillus	genus	0.0	abund	0.0	9	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
816	816	                    Bacteroides	Bacteroides	genus	31.67	abund	31.67	975007	8712	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
909656	909656	                    Phocaeicola	Phocaeicola	genus	0.39	abund	0.39	12137	1970	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
375288	375288	                    Parabacteroides	Parabacteroides	genus	0.76	abund	0.76	23521	55	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
195950	195950	                    Tannerella	Tannerella	genus	0.0	abund	0.0	113	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
838	838	                    Prevotella	Prevotella	genus	0.53	abund	0.53	16247	848	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2974251	2974251	                    Segatella	Segatella	genus	0.15	abund	0.15	4480	111	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2974257	2974257	                    Hoylesella	Hoylesella	genus	0.03	abund	0.03	937	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
558436	558436	                    Xylanibacter	Xylanibacter	genus	0.0	abund	0.0	138	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
577309	577309	                    Paraprevotella	Paraprevotella	genus	0.0	abund	0.0	39	25	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2884814	2884814	                    Pseudoprevotella	Pseudoprevotella	genus	0.0	abund	0.0	20	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
239759	239759	                    Alistipes	Alistipes	genus	0.02	abund	0.02	640	29	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
156973	156973	                    Dysgonomonas	Dysgonomonas	genus	0.02	abund	0.02	523	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
307628	307628	                    Petrimonas	Petrimonas	genus	0.0	abund	0.0	7	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
294702	294702	                    Proteiniphilum	Proteiniphilum	genus	0.0	abund	0.0	4	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2815786	2815786	                    Sodaliphilus	Sodaliphilus	genus	0.01	abund	0.01	166	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2518497	2518497	                    Paramuribaculum	Paramuribaculum	genus	0.01	abund	0.01	161	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1918540	1918540	                    Muribaculum	Muribaculum	genus	0.0	abund	0.0	50	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2518495	2518495	                    Duncaniella	Duncaniella	genus	0.0	abund	0.0	28	3	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
397864	397864	                    Barnesiella	Barnesiella	genus	0.01	abund	0.01	292	3	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
