taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
1204360	1204360	Siansivirga	Siansivirga	genus	0.0	abund	0.0	3303986	5	5	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1209327	1209327	Flavivirga	Flavivirga	genus	0.0	abund	0.0	5174779	72	71	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1209946	1209946	Roseicitreum	Roseicitreum	genus	0.0	abund	0.0	4253095	2	2	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1209988	1209988	Halopenitus	Halopenitus	genus	0.0	abund	0.0	3105937	1	1	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1211036	1211036	Mangrovimonas	Mangrovimonas	genus	0.0	abund	0.0	4990818	20	20	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1213720	1213720	Stomatobaculum	Stomatobaculum	genus	0.0	abund	0.0	2151431	58	58	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1217416	1217416	Halioglobus	Halioglobus	genus	0.0	abund	0.0	4045944	34	34	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1221209	1221209	Methylomarinum	Methylomarinum	genus	0.0	abund	0.0	4771325	6	6	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1221880	1221880	Psychrobacillus	Psychrobacillus	genus	0.0	abund	0.0	4085286	47	45	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1223423	1223423	Neokomagataea	Neokomagataea	genus	0.0	abund	0.0	2577002	16	16	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1227948	1227948	Sphingomicrobium	Sphingomicrobium	genus	0.0	abund	0.0	2369013	8	8	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1229970	1229970	Glaciimonas	Glaciimonas	genus	0.0	abund	0.0	5230360	13	13	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1230698	1230698	Marisediminicola	Marisediminicola	genus	0.0	abund	0.0	3352609	2	2	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1231242	1231242	Ferrovibrio	Ferrovibrio	genus	0.0	abund	0.0	4264634	6	6	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1234545	1234545	Parasphingopyxis	Parasphingopyxis	genus	0.0	abund	0.0	3316607	9	9	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1246884	1246884	Algimonas	Algimonas	genus	0.0	abund	0.0	3169281	1	1	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1249016	1249016	Otariodibacter	Otariodibacter	genus	0.0	abund	0.0	2019124	2	2	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1255275	1255275	Oceanotoga	Oceanotoga	genus	0.0	abund	0.0	2841299	24	24	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1263978	1263978	Candidatus_Endolissoclinum	Candidatus Endolissoclinum	genus	0.0	abund	0.0	1499911	6	6	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1269201	1269201	Salinarchaeum	Salinarchaeum	genus	0.0	abund	0.0	3027155	8	8	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1273155	1273155	Thiohalobacter	Thiohalobacter	genus	0.0	abund	0.0	3254122	41	39	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1274351	1274351	Kroppenstedtia	Kroppenstedtia	genus	0.0	abund	0.0	3455405	25	25	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1276290	1276290	Caldibacillus	Caldibacillus	genus	0.0	abund	0.0	4016170	4	4	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1278221	1278221	Auraticoccus	Auraticoccus	genus	0.0	abund	0.0	4461688	1	1	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1284657	1284657	Planktomarina	Planktomarina	genus	0.0	abund	0.0	3288122	1	1	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1287916	1287916	Euzebyella	Euzebyella	genus	0.0	abund	0.0	4707469	9	9	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1288026	1288026	Arcticibacter	Arcticibacter	genus	0.0	abund	0.0	4865459	14	14	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
