taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
475	475	Moraxella	Moraxella	genus	0.0	abund	0.0	5257819	180	115	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
482	482	Neisseria	Neisseria	genus	0.0	abund	0.0	2541768	648	510	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
497	497	Psychrobacter	Psychrobacter	genus	0.0	abund	0.0	3161277	63	50	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
499	499	Thermomicrobium	Thermomicrobium	genus	0.0	abund	0.0	2000791	5	5	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
507	507	Alcaligenes	Alcaligenes	genus	0.0	abund	0.0	4189078	189	56	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
517	517	Bordetella	Bordetella	genus	0.0	abund	0.0	6021434	510	196	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
522	522	Acidiphilium	Acidiphilium	genus	0.0	abund	0.0	3482438	27	4	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
535	535	Chromobacterium	Chromobacterium	genus	0.0	abund	0.0	4946321	264	188	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
538	538	Eikenella	Eikenella	genus	0.0	abund	0.0	2214233	141	136	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
541	541	Zymomonas	Zymomonas	genus	0.0	abund	0.0	2078303	9	9	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
544	544	Citrobacter	Citrobacter	genus	0.00254	abund	2.54e-05	6514724	850	461	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
547	547	Enterobacter	Enterobacter	genus	0.09951	abund	0.0009951	5591911	940	635	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
551	551	Erwinia	Erwinia	genus	0.0	abund	0.0	6199367	319	91	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
561	561	Escherichia	Escherichia	genus	0.7893300000000001	abund	0.0078933	5936160	6268	4279	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
568	568	Hafnia	Hafnia	genus	0.0	abund	0.0	4735921	34	13	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
570	570	Klebsiella	Klebsiella	genus	0.02115	abund	0.0002115	6259311	707	313	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
579	579	Kluyvera	Kluyvera	genus	0.0	abund	0.0	6676087	50	48	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
581	581	Morganella	Morganella	genus	0.00019999999999999998	abund	2e-06	3777898	87	60	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
583	583	Proteus	Proteus	genus	0.00136	abund	1.36e-05	4453826	145	95	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
586	586	Providencia	Providencia	genus	0.0	abund	0.0	6195469	219	104	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
590	590	Salmonella	Salmonella	genus	0.0	abund	0.0	5546245	143	58	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
613	613	Serratia	Serratia	genus	0.0	abund	0.0	8716508	946	313	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
620	620	Shigella	Shigella	genus	0.0006000000000000001	abund	6e-06	4994147	53	48	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
626	626	Xenorhabdus	Xenorhabdus	genus	0.0	abund	0.0	4219736	111	106	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
629	629	Yersinia	Yersinia	genus	0.0	abund	0.0	5857893	264	197	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
635	635	Edwardsiella	Edwardsiella	genus	0.0	abund	0.0	3885346	109	18	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
637	637	Arsenophonus	Arsenophonus	genus	0.0	abund	0.0	5116868	17	8	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
642	642	Aeromonas	Aeromonas	genus	0.0	abund	0.0	5280590	845	379	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
657	657	Photobacterium	Photobacterium	genus	0.0	abund	0.0	7214277	216	213	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
