taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
198	198	Campylobacter hyointestinalis	Campylobacter hyointestinalis	species	0.0	abund	0.0	1755214	32	4	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
199	199	Campylobacter concisus	Campylobacter concisus	species	0.0	abund	0.0	2099413	160	113	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
200	200	Campylobacter curvus	Campylobacter curvus	species	0.0	abund	0.0	1971270	210	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
201	201	Campylobacter lari	Campylobacter lari	species	0.0	abund	0.0	1565468	192	76	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
204	204	Campylobacter showae	Campylobacter showae	species	0.0	abund	0.0	2160580	48	28	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
206	206	Campylobacter sputorum	Campylobacter sputorum	species	0.0	abund	0.0	1746988	117	29	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
210	210	Helicobacter pylori	Helicobacter pylori	species	0.0	abund	0.0	1700965	721	275	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
212	212	Helicobacter acinonychis	Helicobacter acinonychis	species	0.0	abund	0.0	1557588	5	1	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
213	213	Helicobacter cinaedi	Helicobacter cinaedi	species	0.0	abund	0.0	2170766	58	5	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
214	214	Helicobacter felis	Helicobacter felis	species	0.0	abund	0.0	1672681	25	17	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
217	217	Helicobacter mustelae	Helicobacter mustelae	species	0.0	abund	0.0	1578097	171	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
227	227	Pseudoalteromonas carrageenovora	Pseudoalteromonas carrageenovora	species	0.0	abund	0.0	4597803	28	16	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
228	228	Pseudoalteromonas haloplanktis	Pseudoalteromonas haloplanktis	species	0.0	abund	0.0	3850272	42	3	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
235	235	Brucella abortus	Brucella abortus	species	0.0	abund	0.0	3283421	4	1	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
238	238	Elizabethkingia meningoseptica	Elizabethkingia meningoseptica	species	3.40258e-57	abund	3.40258e-59	15625789	1605	209	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
246	246	Chryseobacterium balustinum	Chryseobacterium balustinum	species	0.0	abund	0.0	4974086	512	212	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
247	247	Empedobacter brevis	Empedobacter brevis	species	1.65928e-17	abund	1.65928e-19	7431270	709	202	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
250	250	Chryseobacterium gleum	Chryseobacterium gleum	species	0.0	abund	0.0	9292597	427	248	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
253	253	Chryseobacterium indologenes	Chryseobacterium indologenes	species	0.0	abund	0.0	35240523	2553	748	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
254	254	Chryseobacterium indoltheticum	Chryseobacterium indoltheticum	species	0.0	abund	0.0	8445673	899	622	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
259	259	Sphingobacterium thalpophilum	Sphingobacterium thalpophilum	species	0.0	abund	0.0	5962893	976	734	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
263	263	Francisella tularensis	Francisella tularensis	species	0.0	abund	0.0	3018743	77	39	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
266	266	Paracoccus denitrificans	Paracoccus denitrificans	species	0.0	abund	0.0	5236194	120	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
271	271	Thermus aquaticus	Thermus aquaticus	species	0.0	abund	0.0	2338641	9	2	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
274	274	Thermus thermophilus	Thermus thermophilus	species	0.0	abund	0.0	2214494	87	27	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
277	277	Meiothermus ruber	Meiothermus ruber	species	0.0	abund	0.0	3097457	27	23	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
280	280	Xanthobacter autotrophicus	Xanthobacter autotrophicus	species	0.0	abund	0.0	5625098	124	59	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
285	285	Comamonas testosteroni	Comamonas testosteroni	species	0.0	abund	0.0	5856025	377	126	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.000634875	abund	6.34875e-06	6798896	2047	723	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
288	288	Pseudoalteromonas atlantica	Pseudoalteromonas atlantica	species	0.0	abund	0.0	5187005	75	33	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
292	292	Burkholderia cepacia	Burkholderia cepacia	species	0.0	abund	0.0	13565292	505	47	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
293	293	Brevundimonas diminuta	Brevundimonas diminuta	species	0.0	abund	0.0	3551819	53	22	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
