taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
33994	33994	                  Neorickettsia helminthoeca	Neorickettsia helminthoeca	species	0.0	abund	0.0	2	0	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2163644	2163644	                  Candidatus Deianiraea vastatrix	Candidatus Deianiraea vastatrix	species	0.0	abund	0.0	54	54	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1920990	1920990	                  Candidatus Fokinia cryptica	Candidatus Fokinia cryptica	species	0.0	abund	0.0	3	3	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1802984	1802984	                  Candidatus Fokinia solitaria	Candidatus Fokinia solitaria	species	0.0	abund	0.0	2	2	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1664265	1664265	                  Candidatus Bandiella woodruffii	Candidatus Bandiella woodruffii	species	0.0	abund	0.0	1	1	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2570586	2570586	                  Candidatus Bandiella numerosa	Candidatus Bandiella numerosa	species	0.0	abund	0.0	1	1	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
234827	234827	                  Candidatus Midichloria mitochondrii	Candidatus Midichloria mitochondrii	species	0.0	abund	0.0	1	0	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2486578	2486578	                Rickettsiales endosymbiont of Stachyamoeba lipophora	Rickettsiales endosymbiont of Stachyamoeba lipophora	species	0.0	abund	0.0	5	5	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
171437	171437	                  Tistrella mobilis	Tistrella mobilis	species	0.0	abund	0.0	548	544	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
657419	657419	                  Tistrella bauzanensis	Tistrella bauzanensis	species	0.0	abund	0.0	113	113	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2749086	2749086	                    Hyphobacterium sp. CCMP332	Hyphobacterium sp. CCMP332	species	0.0	abund	0.0	144	144	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2004662	2004662	                    Hyphobacterium sp.	Hyphobacterium sp.	species	0.0	abund	0.0	24	24	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1434191	1434191	                  Glycocaulis alkaliphilus	Glycocaulis alkaliphilus	species	0.0	abund	0.0	65	65	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1433403	1433403	                  Glycocaulis abyssi	Glycocaulis abyssi	species	0.0	abund	0.0	59	59	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2029849	2029849	                  Marinicauda algicola	Marinicauda algicola	species	0.0	abund	0.0	113	113	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
74318	74318	                  Maricaulis maris	Maricaulis maris	species	0.0	abund	0.0	80	78	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
3096993	3096993	                    Maricaulis sp. MIT060901	Maricaulis sp. MIT060901	species	0.0	abund	0.0	6	6	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
153233	153233	                  Oceanicaulis alexandrii	Oceanicaulis alexandrii	species	0.0	abund	0.0	62	62	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
3241168	3241168	                    Litorimonas sp. RW-G-Af-16	Litorimonas sp. RW-G-Af-16	species	0.0	abund	0.0	27	27	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1128113	1128113	                  Algimonas porphyrae	Algimonas porphyrae	species	0.0	abund	0.0	20	20	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
570162	570162	                  Fretibacter rubidus	Fretibacter rubidus	species	0.0	abund	0.0	4	4	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
