taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	sample_id	sample_id_core	assay	tool	db_mode	tool_db
28117	28117	Alistipes putredinis	Alistipes putredinis	species	1.01316	abund	1.01316	28117	1||976|200643|171549|171550|239759|28117	16450	0	0	16450	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
28118	28118	Odoribacter splanchnicus	Odoribacter splanchnicus	species	0.15385	abund	0.15385	28118	1||976|200643|171549|1853231|283168|28118	4352	0	0	4352	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
28128	28128	Prevotella corporis	Prevotella corporis	species	0.0054	abund	0.0054	28128	1||976|200643|171549|171552|838|28128	94	0	0	94	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
29347	29347	[Clostridium] scindens	[Clostridium] scindens	species	0.23113	abund	0.23113	29347	1||1239|186801|3085636|186803|1506553|29347	5587	0	0	5587	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
29466	29466	Veillonella parvula	Veillonella parvula	species	0.00913	abund	0.00913	29466	1||1239|909932|1843489|31977|29465|29466	120	0	0	120	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
33033	33033	Parvimonas micra	Parvimonas micra	species	0.00087	abund	0.00087	33033	1||1239|1737404|1737405|1570339|543311|33033	9	0	0	9	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
33035	33035	Blautia producta	Blautia producta	species	0.00437	abund	0.00437	33035	1||1239|186801|3085636|186803|572511|33035	164	0	0	164	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
33037	33037	Anaerococcus vaginalis	Anaerococcus vaginalis	species	8e-05	abund	8e-05	33037	1||1239|1737404|1737405|1570339|165779|33037	1	0	0	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
33038	33038	Mediterraneibacter gnavus	Mediterraneibacter gnavus	species	0.18805	abund	0.18805	33038	1||1239|186801|3085636|186803|2316020|33038	3989	0	0	3989	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
33039	33039	[Ruminococcus] torques	[Ruminococcus] torques	species	0.19595	abund	0.19595	33039	1||1239|186801|3085636|186803|2316020|33039	3501	0	0	3501	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
33043	33043	Coprococcus eutactus	Coprococcus eutactus	species	0.00071	abund	0.00071	33043	1||1239|186801|3085636|186803|33042|33043	14	0	0	14	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
35833	35833	Bilophila wadsworthia	Bilophila wadsworthia	species	0.00928	abund	0.00928	35833	1||200940|3031449|213115|194924|35832|35833	251	0	0	251	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
39485	39485	Lachnospira eligens	Lachnospira eligens	species	0.05454	abund	0.05454	39485	1||1239|186801|3085636|186803|28050|39485	1020	0	0	1020	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
