taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
0	0	UMGS1071	UMGS1071	genus	0.0329	abund	0.0329	0.1051	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
0	0	UMGS1312	UMGS1312	genus	0.0114	abund	0.0114	0.0305	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
0	0	UMGS1484	UMGS1484	genus	0.1279	abund	0.1279	0.3533	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
0	0	UMGS1623	UMGS1623	genus	0.0298	abund	0.0298	0.1219	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
0	0	UMGS1975	UMGS1975	genus	0.0068	abund	0.0068	0.0172	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
0	0	UMGS973	UMGS973	genus	0.058	abund	0.058	0.2148	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
561	561	Escherichia	Escherichia	genus	0.0281	abund	0.0281	0.2141	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
570	570	Klebsiella	Klebsiella	genus	0.1379	abund	0.1379	1.1571	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
724	724	Haemophilus_D	Haemophilus	genus	0.0139	abund	0.0139	0.0409	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
816	816	Bacteroides	Bacteroides	genus	0.22699999999999998	abund	0.22699999999999998	1.6312	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
830	830	Butyrivibrio_A	Butyrivibrio	genus	0.181	abund	0.181	0.6838000000000001	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
841	841	Roseburia	Roseburia	genus	0.0327	abund	0.0327	0.2003	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
872	872	Desulfovibrio	Desulfovibrio	genus	0.0559	abund	0.0559	0.2803	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
1263	1263	Ruminococcus_E	Ruminococcus	genus	0.9259	abund	0.9259	3.3959	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
1279	1279	Staphylococcus	Staphylococcus	genus	0.0275	abund	0.0275	0.1156	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
1301	1301	Streptococcus	Streptococcus	genus	5.3394	abund	5.3394	16.906799999999997	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
1350	1350	Enterococcus_A	Enterococcus	genus	0.7888	abund	0.7888	4.7913	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
1378	1378	Gemella	Gemella	genus	0.0207	abund	0.0207	0.0557	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
1485	1485	Clostridium_AP	Clostridium	genus	0.1115	abund	0.1115	0.645	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
1654	1654	Actinomyces	Actinomyces	genus	0.0545	abund	0.0545	0.2137	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
1678	1678	Bifidobacterium	Bifidobacterium	genus	0.0116	abund	0.0116	0.0398	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
1730	1730	Eubacterium_I	Eubacterium	genus	0.1308	abund	0.1308	0.5663	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
2050	2050	Mobiluncus	Mobiluncus	genus	0.0104	abund	0.0104	0.0348	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
2172	2172	Methanobrevibacter_A	Methanobrevibacter	genus	1.1528	abund	1.1528	3.2318	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
28050	28050	Lachnospira	Lachnospira	genus	0.1182	abund	0.1182	0.5408	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
29465	29465	Veillonella	Veillonella	genus	0.0428	abund	0.0428	0.1396	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
32207	32207	Rothia	Rothia	genus	0.0202	abund	0.0202	0.0734	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
33024	33024	Phascolarctobacterium	Phascolarctobacterium	genus	0.061	abund	0.061	0.2137	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
33042	33042	Coprococcus_A	Coprococcus	genus	0.0287	abund	0.0287	0.1561	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
35832	35832	Bilophila	Bilophila	genus	0.021	abund	0.021	0.1474	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
39948	39948	Dialister	Dialister	genus	0.0263	abund	0.0263	0.0753	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
84111	84111	Eggerthella	Eggerthella	genus	0.224	abund	0.224	1.2309	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
117563	117563	Granulicatella	Granulicatella	genus	0.097	abund	0.097	0.1907	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
135858	135858	Catenibacterium	Catenibacterium	genus	0.2988	abund	0.2988	0.997	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
189330	189330	Dorea_A	Dorea	genus	0.7585	abund	0.7585	3.2615000000000003	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
204475	204475	Gemmiger	Gemmiger	genus	0.3055	abund	0.3055	1.3604	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
207244	207244	Anaerostipes	Anaerostipes	genus	0.3781	abund	0.3781	1.5123999999999995	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
216851	216851	Faecalibacterium	Faecalibacterium	genus	1.0298	abund	1.0298	4.625799999999999	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
239759	239759	Alistipes	Alistipes	genus	0.5508	abund	0.5508	2.6166	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
