taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
29495	29495	Vibrio navarrensis	Vibrio navarrensis	species	0.0	abund	0.0	45769505	3	2	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29497	29497	Vibrio splendidus	Vibrio splendidus	species	0.0148731	abund	0.000148731	103221664	9331	7612	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29510	29510	Turneriella parva	Turneriella parva	species	0.0	abund	0.0	2959831	4	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29518	29518	Borreliella afzelii	Borreliella afzelii	species	0.0	abund	0.0	2119679	3	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29519	29519	Borreliella garinii	Borreliella garinii	species	0.0	abund	0.0	916309	4	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29520	29520	Borrelia crocidurae	Borrelia crocidurae	species	0.0	abund	0.0	2802546	2	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29542	29542	Syntrophotalea acetylenica	Syntrophotalea acetylenica	species	0.0	abund	0.0	14167474	3	3	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29543	29543	Pelobacter propionicus	Pelobacter propionicus	species	0.0	abund	0.0	5684294	2	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29546	29546	Lawsonia intracellularis	Lawsonia intracellularis	species	0.0	abund	0.0	4453183	14	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29549	29549	Rhodothermus marinus	Rhodothermus marinus	species	0.0	abund	0.0	3282857	1	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29552	29552	Haploplasma axanthum	Haploplasma axanthum	species	0.0	abund	0.0	1084610	1	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29553	29553	Mycoplasmopsis bovirhinis	Mycoplasmopsis bovirhinis	species	0.0	abund	0.0	2718036	1	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29554	29554	Metamycoplasma canadense	Metamycoplasma canadense	species	0.0	abund	0.0	693241	5	2	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
