taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	sample_id	sample_id_core	assay	tool	db_mode	tool_db
620	620	Shigella	Shigella	genus	0.00078	abund	0.00078	620	1||1224|1236|91347|543|620	0	0	318	318	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
629	629	Yersinia	Yersinia	genus	1e-05	abund	1e-05	629	1||1224|1236|91347|1903411|629	0	0	4	4	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
635	635	Edwardsiella	Edwardsiella	genus	0.0	abund	0.0	635	1||1224|1236|91347|1903412|635	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
642	642	Aeromonas	Aeromonas	genus	6e-05	abund	6e-05	642	1||1224|1236|135624|84642|642	0	0	20	20	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
657	657	Photobacterium	Photobacterium	genus	1e-05	abund	1e-05	657	1||1224|1236|135623|641|657	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
662	662	Vibrio	Vibrio	genus	7e-05	abund	7e-05	662	1||1224|1236|135623|641|662	0	0	26	26	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
724	724	Haemophilus	Haemophilus	genus	0.00136	abund	0.00136	724	1||1224|1236|135625|712|724	0	0	219	219	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
780	780	Rickettsia	Rickettsia	genus	1e-05	abund	1e-05	780	1||1224|28211|766|775|780	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
810	810	Chlamydia	Chlamydia	genus	2e-05	abund	2e-05	810	1||204428|204429|51291|809|810	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
816	816	Bacteroides	Bacteroides	genus	12.16133	abund	12.16133	816	1||976|200643|171549|815|816	0	0	5151494	5151494	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
830	830	Butyrivibrio	Butyrivibrio	genus	0.00082	abund	0.00082	830	1||1239|186801|3085636|186803|830	0	0	285	285	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
836	836	Porphyromonas	Porphyromonas	genus	0.00162	abund	0.00162	836	1||976|200643|171549|171551|836	0	0	297	297	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
838	838	Prevotella	Prevotella	genus	0.00535	abund	0.00535	838	1||976|200643|171549|171552|838	0	0	1211	1211	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
841	841	Roseburia	Roseburia	genus	0.2472	abund	0.2472	841	1||1239|186801|3085636|186803|841	0	0	79052	79052	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
846	846	Oxalobacter	Oxalobacter	genus	0.06278	abund	0.06278	846	1||1224|28216|80840|75682|846	0	0	12228	12228	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
848	848	Fusobacterium	Fusobacterium	genus	0.00036	abund	0.00036	848	1||32066|203490|203491|203492|848	0	0	63	63	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
