taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
2837508	2837508	Rossellomorea	Rossellomorea	genus	0.0	abund	0.0	4547352	48	19	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2837510	2837510	Siminovitchia	Siminovitchia	genus	0.0	abund	0.0	4277599	10	4	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2837511	2837511	Sutcliffiella	Sutcliffiella	genus	0.0	abund	0.0	5778581	66	60	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2838170	2838170	Alkalicella	Alkalicella	genus	0.0	abund	0.0	3695371	6	6	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2838250	2838250	Kaustia	Kaustia	genus	0.0	abund	0.0	4630536	3	3	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2838311	2838311	Natronoglycomyces	Natronoglycomyces	genus	0.0	abund	0.0	4012379	4	4	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2838409	2838409	Pigmentibacter	Pigmentibacter	genus	0.0	abund	0.0	3654982	12	12	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2840454	2840454	Candidatus_Formimonas	Candidatus Formimonas	genus	0.0	abund	0.0	6441270	8	8	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2841540	2841540	Halosegnis	Halosegnis	genus	0.0	abund	0.0	2811024	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2841677	2841677	Candidatus_Pseudothioglobus	Candidatus Pseudothioglobus	genus	0.0	abund	0.0	1714148	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2842391	2842391	Azorudivirus	Azorudivirus	genus	0.0	abund	0.0	28096	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2842531	2842531	Solibaculum	Solibaculum	genus	0.00035	abund	3.5e-06	2541474	37	37	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2842540	2842540	Akonivirus	Akonivirus	genus	0.0	abund	0.0	54374	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2842588	2842588	Ceceduovirus	Ceceduovirus	genus	0.0	abund	0.0	230332	1	0	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2842638	2842638	Deltanudivirus	Deltanudivirus	genus	0.0	abund	0.0	145704	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2842725	2842725	Hemphillvirus	Hemphillvirus	genus	0.0	abund	0.0	26800	1	0	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2842752	2842752	Icerudivirus	Icerudivirus	genus	0.0	abund	0.0	33871	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2842757	2842757	Immanueltrevirus	Immanueltrevirus	genus	0.0	abund	0.0	46094	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2842888	2842888	Mydovirus	Mydovirus	genus	0.0	abund	0.0	141936	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2843200	2843200	Miltoncostaea	Miltoncostaea	genus	0.0	abund	0.0	3956195	4	4	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2843351	2843351	Audreyjarvisvirus	Audreyjarvisvirus	genus	0.0	abund	0.0	126161	1	0	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2843361	2843361	Borockvirus	Borockvirus	genus	0.0	abund	0.0	112523	6	6	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2843376	2843376	Donellivirus	Donellivirus	genus	0.0	abund	0.0	497513	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2843386	2843386	Gilsonvirus	Gilsonvirus	genus	0.0	abund	0.0	128676	3	3	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2843399	2843399	Kanagawavirus	Kanagawavirus	genus	0.0	abund	0.0	174796	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2843409	2843409	Lacnuvirus	Lacnuvirus	genus	0.0	abund	0.0	36466	2	2	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2843413	2843413	Larmunavirus	Larmunavirus	genus	0.00594	abund	5.94e-05	39989	88	88	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2843415	2843415	Latrobevirus	Latrobevirus	genus	0.0	abund	0.0	130907	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2843426	2843426	Muminvirus	Muminvirus	genus	0.0	abund	0.0	38266	2	2	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2843429	2843429	Nesevirus	Nesevirus	genus	0.0	abund	0.0	46351	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
