tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,clade_reads,direct_reads
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2682455,Veillonella orientalis,Veillonella orientalis,species,0.5597713829436634,abund,0.56,57724000,57724000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2682456,Veillonella nakazawae,Veillonella nakazawae,species,0.2428708039259935,abund,0.24,25045000,25045000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2714355,Vescimonas coprocola,Vescimonas coprocola,species,0.582705669564313,abund,0.58,60088999,60088999
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2714358,Pusillibacter faecalis,Pusillibacter faecalis,species,0.6653758171522506,abund,0.67,68614000,68614000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2735723,Turicibacter bilis,Turicibacter bilis,species,0.6394741235093547,abund,0.64,65943000,65943000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2763667,Wansuia hejianensis,Wansuia hejianensis,species,0.9209695795430437,abund,0.92,94971000,94971000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2763672,Simiaoa sunii,Simiaoa sunii,species,0.825702549087106,abund,0.83,85147000,85147000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2806443,Turicibacter sp. TJ11,Turicibacter sp. TJ11,species,0.5834620746582252,abund,0.58,60167000,60167000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2847299,Bacteroides sp. DH3716P,Bacteroides sp. DH3716P,species,3.1746884530275925,abund,3.17,327376000,327376000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2922857,Bifidobacterium sp. FKU,Bifidobacterium sp. FKU,species,0.7678286038752741,abund,0.77,79179000,79179000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2929488,Faecalibacterium sp. IP-1-18,Faecalibacterium sp. IP-1-18,species,0.43844750081477124,abund,0.44,45213000,45213000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2929489,Faecalibacterium sp. IP-3-29,Faecalibacterium sp. IP-3-29,species,0.44452775611768985,abund,0.44,45840000,45840000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2929490,Faecalibacterium sp. I2-3-92,Faecalibacterium sp. I2-3-92,species,0.18703330785867983,abund,0.19,19287000,19287000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2929493,Faecalibacterium sp. I3-3-89,Faecalibacterium sp. I3-3-89,species,0.5832390349900161,abund,0.58,60144000,60144000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2929494,Faecalibacterium sp. I4-1-79,Faecalibacterium sp. I4-1-79,species,1.265653143318069,abund,1.27,130515000,130515000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2929495,Faecalibacterium sp. I4-3-84,Faecalibacterium sp. I4-3-84,species,0.7078115383732587,abund,0.71,72990000,72990000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2944914,Allocoprobacillus halotolerans,Allocoprobacillus halotolerans,species,0.6856045453211316,abund,0.69,70700000,70700000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2985571,Bifidobacterium sp. KRGSERBCFTRI,Bifidobacterium sp. KRGSERBCFTRI,species,1.1514083463105975,abund,1.15,118734000,118734000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,3081750,Anaerocolumna sp. AGMB13020,Anaerocolumna sp. AGMB13020,species,1.4034625661406803,abund,1.4,144726000,144726000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,194,Campylobacter,Campylobacter,genus,0.4256372659580638,abund,0.43,43892000,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,724,Haemophilus,Haemophilus,genus,2.402602700702587,abund,2.4,247758000,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,816,Bacteroides,Bacteroides,genus,13.145191951473153,abund,13.15,1355541000,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,838,Prevotella,Prevotella,genus,1.2347960900901789,abund,1.23,127333000,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,841,Roseburia,Roseburia,genus,2.760610460308889,abund,2.76,284676000,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,848,Fusobacterium,Fusobacterium,genus,0.5199054665954996,abund,0.52,53613000,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1253,Pediococcus,Pediococcus,genus,0.42011945851410726,abund,0.42,43323000,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1263,Ruminococcus,Ruminococcus,genus,0.7033119555015614,abund,0.7,72526000,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1301,Streptococcus,Streptococcus,genus,6.25777548405938,abund,6.26,645306000,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1378,Gemella,Gemella,genus,0.4281682813233935,abund,0.43,44153000,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1485,Clostridium,Clostridium,genus,2.1288069522131763,abund,2.13,219523999,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1654,Actinomyces,Actinomyces,genus,1.4658845811086028,abund,1.47,151163000,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1678,Bifidobacterium,Bifidobacterium,genus,2.4322475721232686,abund,2.43,250814999,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1730,Eubacterium,Eubacterium,genus,1.4541119655779116,abund,1.45,149949000,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2701,Gardnerella,Gardnerella,genus,0.3987852293810593,abund,0.4,41123000,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,28050,Lachnospira,Lachnospira,genus,0.503555689178082,abund,0.5,51927000,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,29465,Veillonella,Veillonella,genus,2.5467348132500836,abund,2.55,262621000,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,32207,Rothia,Rothia,genus,1.097520022995894,abund,1.1,113177000,0
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,33042,Coprococcus,Coprococcus,genus,0.7679546697746966,abund,0.77,79192000,0
