tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,35703,35703,Citrobacter amalonaticus,Citrobacter amalonaticus,species,0.00163,abund,0.00163,35703,1||1224|1236|91347|543|544|35703,8,0,0,8,0.0019235412417863019,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,35833,35833,Bilophila wadsworthia,Bilophila wadsworthia,species,0.00024,abund,0.00024,35833,1||200940|3031449|213115|194924|35832|35833,1,0,0,1,0.0002832207963366334,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,39491,39491,Agathobacter rectalis,Agathobacter rectalis,species,0.0013,abund,0.0013,39491,1||1239|186801|3085636|186803|1766253|39491,4,0,0,4,0.001534112646823431,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,40520,40520,Blautia obeum,Blautia obeum,species,0.00029,abund,0.00029,40520,1||1239|186801|3085636|186803|572511|40520,1,0,0,1,0.00034222512890676535,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,40545,40545,Sutterella wadsworthensis,Sutterella wadsworthensis,species,0.00185,abund,0.00185,40545,1||1224|28216|80840|995019|40544|40545,5,0,0,5,0.0021831603050948825,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,42374,42374,Candida dubliniensis,Candida dubliniensis,species,0.00023,abund,0.00023,42374,1||4890|3239874|2916678|766764|5475|42374,3,0,0,3,0.000271419929822607,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,46503,46503,Parabacteroides merdae,Parabacteroides merdae,species,0.01019,abund,0.01019,46503,1||976|200643|171549|2005525|375288|46503,44,0,0,44,0.012025082977792891,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,46506,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.02781,abund,0.02781,46506,1||976|200643|171549|815|816|46506,103,0,0,103,0.032818209775507395,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,47678,47678,Bacteroides caccae,Bacteroides caccae,species,0.0016,abund,0.0016,47678,1||976|200643|171549|815|816|47678,8,0,0,8,0.0018881386422442226,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,47715,47715,Lacticaseibacillus rhamnosus,Lacticaseibacillus rhamnosus,species,0.00109,abund,0.00109,47715,1||1239|91061|186826|33958|2759736|47715,3,0,0,3,0.0012862944500288767,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,53443,53443,Blautia hydrogenotrophica,Blautia hydrogenotrophica,species,0.0003,abund,0.0003,53443,1||1239|186801|3085636|186803|572511|53443,1,0,0,1,0.00035402599542079175,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,71452,71452,Enterococcus raffinosus,Enterococcus raffinosus,species,0.00025,abund,0.00025,71452,1||1239|91061|186826|81852|1350|71452,1,0,0,1,0.0002950216628506598,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,76517,76517,Campylobacter hominis,Campylobacter hominis,species,0.00187,abund,0.00187,76517,1||29547|3031852|213849|72294|194|76517,3,0,0,3,0.002206762038122935,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,76857,76857,Fusobacterium polymorphum,Fusobacterium polymorphum,species,0.00043,abund,0.00043,76857,1||32066|203490|203491|203492|848|76857,1,0,0,1,0.0005074372601031348,0.8473954
