tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,197614,197614,Streptococcus pasteurianus,Streptococcus pasteurianus,species,0.00016,abund,0.00016,197614,1||1239|91061|186826|1300|1301|197614,3,0,0,3,0.00016088536827012733,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,239935,239935,Akkermansia muciniphila,Akkermansia muciniphila,species,2.35888,abund,2.35888,239935,1||74201|203494|48461|1647988|239934|239935,56269,0,0,56269,2.371932984406487,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,301301,301301,Roseburia hominis,Roseburia hominis,species,5.19782,abund,5.19782,301301,1||1239|186801|3085636|186803|841|301301,160547,0,0,160547,5.226582405636458,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,423477,423477,Veillonella rogosae,Veillonella rogosae,species,24.76789,abund,24.76789,423477,1||1239|909932|1843489|31977|29465|423477,463457,0,0,463457,24.90494439952503,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,544580,544580,Actinomyces oris,Actinomyces oris,species,0.00026,abund,0.00026,544580,1||201174|1760|2037|2049|1654|544580,7,0,0,7,0.0002614387234389569,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2857061,2857061,Escherichia sp. TC-EC600-tetX4,Escherichia sp. TC-EC600-tetX4,species,2e-05,abund,2e-05,2857061,1||1224|1236|91347|543|561|2857061,1,0,0,1,2.0110671033765916e-05,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,3141185,3141185,Faecalibacterium sp. i25-0019-C1,Faecalibacterium sp. i25-0019-C1,species,8e-05,abund,8e-05,3141185,1||1239|186801|186802|216572|216851|3141185,2,0,0,2,8.044268413506366e-05,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,407,407,Methylobacterium,Methylobacterium,genus,4e-05,abund,4e-05,407,1||1224|28211|356|119045|407,0,0,2,2,4.022134206753183e-05,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,561,561,Escherichia,Escherichia,genus,10.37333,abund,10.37333,561,1||1224|1236|91347|543|561,0,0,459362,459362,10.430731357734748,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,570,570,Klebsiella,Klebsiella,genus,8e-05,abund,8e-05,570,1||1224|1236|91347|543|570,0,0,4,4,8.044268413506366e-05,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,590,590,Salmonella,Salmonella,genus,0.01016,abund,0.01016,590,1||1224|1236|91347|543|590,0,0,441,441,0.010216220885153086,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,620,620,Shigella,Shigella,genus,0.00036,abund,0.00036,620,1||1224|1236|91347|543|620,0,0,16,16,0.0003619920786077865,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,816,816,Bacteroides,Bacteroides,genus,12.03994,abund,12.03994,816,1||976|200643|171549|815|816,0,0,544451,544451,12.10656363031398,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,838,838,Prevotella,Prevotella,genus,8.87256,abund,8.87256,838,1||976|200643|171549|171552|838,0,0,215321,215321,8.921656769367505,0.9944969
