taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
472568	472568	Devriesea	Devriesea	genus	0.0	abund	0.0	2958880	3	2	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
476528	476528	Bibersteinia	Bibersteinia	genus	0.0	abund	0.0	2407846	4	0	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
478070	478070	Labrenzia	Labrenzia	genus	0.0	abund	0.0	0	1	0	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
497726	497726	Nitrososphaera	Nitrososphaera	genus	0.0	abund	0.0	2954373	4	1	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
499228	499228	Tepidanaerobacter	Tepidanaerobacter	genus	0.0	abund	0.0	5521119	46	0	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
501783	501783	Cloacibacterium	Cloacibacterium	genus	0.0	abund	0.0	2759562	2	1	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
504090	504090	Kushneria	Kushneria	genus	0.0	abund	0.0	3624619	5	0	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
508459	508459	Cloacibacillus	Cloacibacillus	genus	0.0	abund	0.0	3585187	3	2	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
511434	511434	Candidatus Azobacteroides	Candidatus Azobacteroides	genus	0.0	abund	0.0	1224919	14	10	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
511678	511678	Aliivibrio	Aliivibrio	genus	0.0	abund	0.0	4655660	31	1	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
511745	511745	Methylacidiphilum	Methylacidiphilum	genus	0.0	abund	0.0	2202032	2	1	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
518733	518733	Microterricola	Microterricola	genus	0.0	abund	0.0	3689726	2	0	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
529883	529883	Rhodoluna	Rhodoluna	genus	0.0	abund	0.0	4185049	2	1	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
543311	543311	Parvimonas	Parvimonas	genus	0.0	abund	0.0	4966270	117	66	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
545865	545865	Calditerrivibrio	Calditerrivibrio	genus	0.0	abund	0.0	2216552	1	0	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
558016	558016	Alphabaculovirus	Alphabaculovirus	genus	0.0	abund	0.0	134394	2	1	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
570266	570266	Methanocella	Methanocella	genus	0.0	abund	0.0	2957635	2	0	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
572511	572511	Blautia	Blautia	genus	0.0	abund	0.0	6197116	313	124	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
577309	577309	Paraprevotella	Paraprevotella	genus	0.0053923	abund	5.3923e-05	4125322	6032	6021	0.005453495139923636	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
596707	596707	Sinomonas	Sinomonas	genus	0.0	abund	0.0	4492204	2	0	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
