taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
1730	1730	Eubacterium_I	Eubacterium	genus	0.1308	abund	0.1308	0.5663	0.5538570980936814	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
2050	2050	Mobiluncus	Mobiluncus	genus	0.0104	abund	0.0104	0.0348	0.04403756743252513	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
2172	2172	Methanobrevibacter_A	Methanobrevibacter	genus	1.1528	abund	1.1528	3.2318	4.881394974636055	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
28050	28050	Lachnospira	Lachnospira	genus	0.1182	abund	0.1182	0.5408	0.5005038913965837	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
29465	29465	Veillonella	Veillonella	genus	0.0428	abund	0.0428	0.1396	0.18123152751077648	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
32207	32207	Rothia	Rothia	genus	0.0202	abund	0.0202	0.0734	0.08553450597471228	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
33024	33024	Phascolarctobacterium	Phascolarctobacterium	genus	0.061	abund	0.061	0.2137	0.25829727051769547	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
33042	33042	Coprococcus_A	Coprococcus	genus	0.0287	abund	0.0287	0.1561	0.12152674858783379	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
35832	35832	Bilophila	Bilophila	genus	0.021	abund	0.021	0.1474	0.0889220111618296	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
39948	39948	Dialister	Dialister	genus	0.0263	abund	0.0263	0.0753	0.11136423302648182	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
84111	84111	Eggerthella	Eggerthella	genus	0.224	abund	0.224	1.2309	0.9485014523928491	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
117563	117563	Granulicatella	Granulicatella	genus	0.097	abund	0.097	0.1907	0.41073500393797485	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
135858	135858	Catenibacterium	Catenibacterium	genus	0.2988	abund	0.2988	0.997	1.2652331873883182	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
189330	189330	Dorea_A	Dorea	genus	0.7585	abund	0.7585	3.2615000000000003	3.211778355535607	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
204475	204475	Gemmiger	Gemmiger	genus	0.3055	abund	0.3055	1.3604	1.2936035433304258	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
207244	207244	Anaerostipes	Anaerostipes	genus	0.3781	abund	0.3781	1.5123999999999995	1.6010196390613225	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
216851	216851	Faecalibacterium	Faecalibacterium	genus	1.0298	abund	1.0298	4.625799999999999	4.360566052116767	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
239759	239759	Alistipes	Alistipes	genus	0.5508	abund	0.5508	2.6166	2.332297321330273	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
283168	283168	Odoribacter	Odoribacter	genus	0.0221	abund	0.0221	0.1469	0.0935798307941159	0.23616199999999998	DYN_0007_D01_Zymo.fastq	DYN_0007_D01	ont_zymo	sylph	default	sylph_default
