tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,298656,298656,Blattabacterium sp. (Cryptocercus kyebangensis),Blattabacterium sp. (Cryptocercus kyebangensis),species,0.0,abund,0.0,637356,20,9
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,298657,298657,Pseudoalteromonas spongiae,Pseudoalteromonas spongiae,species,0.0,abund,0.0,4752413,57,23
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,299262,299262,Tateyamaria omphalii,Tateyamaria omphalii,species,0.0,abund,0.0,4315457,25,13
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,299767,299767,Enterobacter ludwigii,Enterobacter ludwigii,species,0.0,abund,0.0,43626937,177,17
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,300019,300019,Microbacterium paludicola,Microbacterium paludicola,species,0.0,abund,0.0,3410829,7,3
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,300231,300231,Glaciecola nitratireducens,Glaciecola nitratireducens,species,0.0,abund,0.0,4134229,24,7
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,300825,300825,Bacillus lehensis,Bacillus lehensis,species,0.0,abund,0.0,3993073,83,61
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,301301,301301,Roseburia hominis,Roseburia hominis,species,1.9174799999999999,abund,0.0191748,3592125,53621,0
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,301375,301375,Methanosaeta harundinacea,Methanosaeta harundinacea,species,0.0,abund,0.0,2571034,15,12
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,302167,302167,Virgibacillus dokdonensis,Virgibacillus dokdonensis,species,0.0,abund,0.0,4263520,111,65
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,302406,302406,Advenella mimigardefordensis,Advenella mimigardefordensis,species,0.0,abund,0.0,4764126,31,16
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,303541,303541,Lactobacillus apis,Lactobacillus apis,species,0.0,abund,0.0,1683102,11,7
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,304207,304207,Lactobacillus harbinensis,Lactobacillus harbinensis,species,0.0,abund,0.0,6882821,86,9
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,304895,304895,Catenulispora acidiphila,Catenulispora acidiphila,species,0.0,abund,0.0,10467782,50,17
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,308354,308354,Staphylococcus simiae,Staphylococcus simiae,species,0.0,abund,0.0,2643976,63,38
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,308754,308754,Rhodovulum sp. MB263,Rhodovulum sp. MB263,species,0.0,abund,0.0,4162560,15,9
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,309805,309805,Persephonella marina,Persephonella marina,species,0.0,abund,0.0,1983966,60,49
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,309806,309806,Sulfurihydrogenibium azorense,Sulfurihydrogenibium azorense,species,0.0,abund,0.0,1640877,19,10
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,309868,309868,Candidatus Liberibacter americanus,Candidatus Liberibacter americanus,species,0.0,abund,0.0,1195201,12,7
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,309887,309887,Deinococcus maricopensis,Deinococcus maricopensis,species,0.0,abund,0.0,3498530,11,6
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,310575,310575,Advenella kashmirensis,Advenella kashmirensis,species,0.0,abund,0.0,4423879,39,23
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,310783,310783,Deinococcus deserti,Deinococcus deserti,species,0.0,abund,0.0,3855329,40,33
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,311180,311180,Yangia pacifica,Yangia pacifica,species,0.0,abund,0.0,5165968,55,27
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,311230,311230,Paraburkholderia terrae,Paraburkholderia terrae,species,0.0,abund,0.0,10062489,45,17
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,311400,311400,Thermococcus kodakarensis,Thermococcus kodakarensis,species,0.0,abund,0.0,2088737,2,1
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,312277,312277,Flavobacterium indicum,Flavobacterium indicum,species,0.0,abund,0.0,2993089,57,36
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,312285,312285,Trueperella bialowiezensis,Trueperella bialowiezensis,species,0.0,abund,0.0,2043249,9,4
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,312306,312306,Pseudomonas entomophila,Pseudomonas entomophila,species,0.0,abund,0.0,5888780,59,20
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,312539,312539,Acidianus sulfidivorans,Acidianus sulfidivorans,species,0.0,abund,0.0,2287077,20,15
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,313588,313588,Croceibacter atlanticus,Croceibacter atlanticus,species,0.0,abund,0.0,2952962,33,14
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,313590,313590,Dokdonia sp. MED134,Dokdonia sp. MED134,species,0.0,abund,0.0,3302548,84,25
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,313598,313598,Polaribacter sp. MED152,Polaribacter sp. MED152,species,0.0,abund,0.0,2961474,74,55
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,313603,313603,Maribacter sp. HTCC2170,Maribacter sp. HTCC2170,species,0.0,abund,0.0,3868304,115,86
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,313985,313985,Geobacter lovleyi,Geobacter lovleyi,species,0.0,abund,0.0,3994874,50,16
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,314275,314275,Alteromonas mediterranea,Alteromonas mediterranea,species,0.0,abund,0.0,4603045,122,39
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,314281,314281,Pseudoalteromonas tunicata,Pseudoalteromonas tunicata,species,0.0,abund,0.0,9926965,106,0
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,314282,314282,Psychromonas sp. CNPT3,Psychromonas sp. CNPT3,species,0.0,abund,0.0,3052410,51,35
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,314722,314722,Pseudoxanthomonas suwonensis,Pseudoxanthomonas suwonensis,species,0.0,abund,0.0,3419049,64,33
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,315358,315358,Spiroplasma eriocheiris,Spiroplasma eriocheiris,species,0.0,abund,0.0,1364757,71,0
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,315405,315405,Streptococcus gallolyticus,Streptococcus gallolyticus,species,0.0,abund,0.0,2395815,379,77
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,316068,316068,Leadbetterella byssophila,Leadbetterella byssophila,species,0.0,abund,0.0,4059653,107,82
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,316277,316277,Syntrophus aciditrophicus,Syntrophus aciditrophicus,species,0.0,abund,0.0,3179300,42,25
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,316278,316278,Synechococcus sp. RCC307,Synechococcus sp. RCC307,species,0.0,abund,0.0,2224914,18,9
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,316279,316279,Synechococcus sp. CC9902,Synechococcus sp. CC9902,species,0.0,abund,0.0,2234828,19,16
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,317577,317577,Deinococcus ficus,Deinococcus ficus,species,0.0,abund,0.0,4157290,45,29
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,317936,317936,Nostoc sp. PCC 7107,Nostoc sp. PCC 7107,species,0.0,abund,0.0,6329823,60,34
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,318683,318683,Gluconobacter albidus,Gluconobacter albidus,species,0.0,abund,0.0,3369297,22,17
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,318845,318845,Parry Creek virus,Parry Creek virus,species,0.0,abund,0.0,13205,1,1
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,319236,319236,Nonlabens sediminis,Nonlabens sediminis,species,0.0,abund,0.0,2835711,42,32
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,319706,319706,Mycobacterium phocaicum,Mycobacterium phocaicum,species,0.0,abund,0.0,5853197,25,7
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,319707,319707,Mycobacterium aubagnense,Mycobacterium aubagnense,species,0.0,abund,0.0,6321928,12,5
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,320122,320122,Clostridium virus phiCD119,Clostridium virus phiCD119,species,0.0,abund,0.0,53325,1,0
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,320497,320497,Neoasaia chiangmaiensis,Neoasaia chiangmaiensis,species,0.0,abund,0.0,3407860,11,6
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,320787,320787,Cyclobacterium amurskyense,Cyclobacterium amurskyense,species,0.0,abund,0.0,6158829,91,50
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,321327,321327,Synechococcus sp. JA-3-3Ab,Synechococcus sp. JA-3-3Ab,species,0.0,abund,0.0,2932766,18,14
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,321332,321332,Synechococcus sp. JA-2-3B'a(2-13),Synechococcus sp. JA-2-3B'a(2-13),species,0.0,abund,0.0,3046682,28,18
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,321846,321846,Pseudomonas simiae,Pseudomonas simiae,species,0.0,abund,0.0,12280685,71,18
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,321983,321983,Massilia albidiflava,Massilia albidiflava,species,0.0,abund,0.0,7437157,56,28
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,321984,321984,Massilia plicata,Massilia plicata,species,0.0,abund,0.0,5887622,39,8
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,322535,322535,Pseudomonas sp. S19,Pseudomonas sp. S19,species,0.0,abund,0.0,6098674,25,0
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,323284,323284,Alcaligenes aquatilis,Alcaligenes aquatilis,species,0.0,abund,0.0,4323879,39,12
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,323415,323415,Dokdonella koreensis,Dokdonella koreensis,species,0.0,abund,0.0,4446619,57,38
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,323450,323450,Pontibacter actiniarum,Pontibacter actiniarum,species,0.0,abund,0.0,4974797,67,41
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,324057,324057,Paenibacillus sp. JDR-2,Paenibacillus sp. JDR-2,species,0.0,abund,0.0,7184930,248,133
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,324078,324078,Mesoplasma coleopterae,Mesoplasma coleopterae,species,0.0,abund,0.0,800407,48,40
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,324079,324079,Spiroplasma tabanidicola,Spiroplasma tabanidicola,species,0.0,abund,0.0,1284335,59,43
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,324767,324767,Bacillus infantis,Bacillus infantis,species,0.0,abund,0.0,4884713,134,83
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,325775,325775,Coxiella endosymbiont of Amblyomma americanum,Coxiella endosymbiont of Amblyomma americanum,species,0.0,abund,0.0,656901,3,0
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,326320,326320,Dokdonia donghaensis,Dokdonia donghaensis,species,0.0,abund,0.0,3293944,84,31
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,326522,326522,Neisseria animaloris,Neisseria animaloris,species,0.0,abund,0.0,4622660,93,63
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,326523,326523,Neisseria zoodegmatis,Neisseria zoodegmatis,species,0.0,abund,0.0,2552522,19,8
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,326544,326544,Paraglaciecola psychrophila,Paraglaciecola psychrophila,species,0.0,abund,0.0,5413691,40,27
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,327160,327160,Candidatus Accumulibacter phosphatis,Candidatus Accumulibacter phosphatis,species,0.0,abund,0.0,5306133,47,20
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,327575,327575,Capnocytophaga leadbetteri,Capnocytophaga leadbetteri,species,0.0,abund,0.0,2504023,53,27
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,328515,328515,Nonlabens dokdonensis,Nonlabens dokdonensis,species,0.0,abund,0.0,3914632,59,29
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,328615,328615,Trichoplusia ni ascovirus 2c,Trichoplusia ni ascovirus 2c,species,0.0,abund,0.0,174059,2,2
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,328813,328813,Alistipes onderdonkii,Alistipes onderdonkii,species,0.0,abund,0.0,10132847,258,0
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,329854,329854,Bacteroides intestinalis,Bacteroides intestinalis,species,0.000672259,abund,6.72259e-06,5785761,4541,3535
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,330214,330214,Nitrospira defluvii,Nitrospira defluvii,species,0.0,abund,0.0,4317083,21,11
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,330734,330734,Marinobacter psychrophilus,Marinobacter psychrophilus,species,0.0,abund,0.0,3998597,28,8
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,330922,330922,Psychrobacter cryohalolentis,Psychrobacter cryohalolentis,species,0.0,abund,0.0,3101097,68,0
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,332054,332054,Trichoplusia ni single nucleopolyhedrovirus,Trichoplusia ni single nucleopolyhedrovirus,species,0.0,abund,0.0,134394,3,2
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,332055,332055,Sphingobium indicum,Sphingobium indicum,species,0.0,abund,0.0,3945731,10,4
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,332056,332056,Sphingobium japonicum,Sphingobium japonicum,species,0.0,abund,0.0,4424862,15,7
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,332101,332101,Clostridium drakei,Clostridium drakei,species,0.0,abund,0.0,5695241,385,176
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,332163,332163,Candidatus Solibacter usitatus,Candidatus Solibacter usitatus,species,0.0,abund,0.0,9965640,48,31
