tool,db,tool_db,data_type,project,technology,sample,raw_path,rows,species_rows,genus_rows,species_no_taxid,genus_no_taxid,species_value_sum,genus_value_sum,out_path
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/ganon2-results/SRR13128013_reads.tre,54,30,24,0,0,99.44970999999998,99.4497,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Ganon2_default/ZymoMockD6331_pacbio_SRR13128013.csv
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/ganon2-results/SRR13128014_reads.tre,49,28,21,0,0,99.49677,99.49679,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Ganon2_default/ZymoMockD6331_pacbio_SRR13128014.csv
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/sourmash-results/SRR13128013.kreport.txt,42,25,17,0,0,86.29117312628765,86.2911731223856,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sourmash_default/ZymoMockD6331_pacbio_SRR13128013.csv
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/sourmash-results/SRR13128014.kreport.txt,40,24,16,0,0,86.12126453938973,86.12126454498306,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sourmash_default/ZymoMockD6331_pacbio_SRR13128014.csv
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/sylph-results/SRR13128013.fastq.sylphmpa,30,14,16,0,0,95.7526,95.916,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sylph_default/ZymoMockD6331_pacbio_SRR13128013.csv
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/sylph-results/SRR13128014.fastq.sylphmpa,30,14,16,0,0,95.6738,95.83800000000001,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sylph_default/ZymoMockD6331_pacbio_SRR13128014.csv
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/Kraken2-results/sim_ont_report.tsv,1259,853,406,0,0,93.62057546113672,98.39748232612702,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Kraken2_default/simulated_ont_sim_ont.csv
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/Centrifuge-results/sim_ont_kreport.tsv,6638,5163,1475,0,0,85.86952608146999,82.07103544655045,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuge_default/simulated_ont_sim_ont.csv
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/Centrifuger-results/sim_ont_kreport.tsv,8468,6602,1866,0,0,89.51687924995606,92.50157208084885,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuger_default/simulated_ont_sim_ont.csv
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/ganon2-results/sim_ont_reads.tre,269,183,86,0,0,96.69988,96.69989,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Ganon2_default/simulated_ont_sim_ont.csv
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/sourmash-results/sim_ont.kreport.txt,211,146,65,1,0,90.14617483123365,85.87125086485148,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sourmash_default/simulated_ont_sim_ont.csv
Sylph,default,Sylph_default,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/default-reports/simulated/ont/sylph-results/sim_ont.fastq.sylphmpa,181,117,64,14,0,97.6467,97.64669999999998,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sylph_default/simulated_ont_sim_ont.csv
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/Kraken2-results/sim_pacbio_report.tsv,636,438,198,0,0,97.0589516269526,99.50147758141213,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Kraken2_default/simulated_pacbio_sim_pacbio.csv
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/Centrifuge-results/sim_pacbio_kreport.tsv,5716,4392,1324,0,0,94.47721685604206,89.16252105069583,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuge_default/simulated_pacbio_sim_pacbio.csv
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/Centrifuger-results/sim_pacbio_kreport.tsv,5075,3753,1322,0,0,94.30848867295106,95.95326584206003,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuger_default/simulated_pacbio_sim_pacbio.csv
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/ganon2-results/sim_pacbio_reads.tre,224,152,72,0,0,96.63649,96.63651,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Ganon2_default/simulated_pacbio_sim_pacbio.csv
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/sourmash-results/sim_pacbio.kreport.txt,212,147,65,1,0,93.42328749620026,88.92066935436398,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sourmash_default/simulated_pacbio_sim_pacbio.csv
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/default-reports/simulated/pacbio/sylph-results/sim_pacbio.fastq.sylphmpa,181,117,64,14,0,97.64719999999998,97.6472,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sylph_default/simulated_pacbio_sim_pacbio.csv
