tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,96241,96241,Bacillus spizizenii,Bacillus spizizenii,species,0.00033,fraction_reads,0.00033,96241,1||1239|91061|1385|186817|1386|96241,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,133448,133448,Citrobacter youngae,Citrobacter youngae,species,0.00133,fraction_reads,0.00133,133448,1||1224|1236|91347|543|544|133448,4,0,0,4
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,133926,133926,Olsenella uli,Olsenella uli,species,0.00033,fraction_reads,0.00033,133926,1||201174|84998|84999|1643824|133925|133926,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,153151,153151,Parageobacillus toebii,Parageobacillus toebii,species,0.00033,fraction_reads,0.00033,153151,1||1239|91061|1385|3120669|1906945|153151,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,154046,154046,Hungatella hathewayi,Hungatella hathewayi,species,0.00033,fraction_reads,0.00033,154046,1||1239|186801|3085636|186803|1649459|154046,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,158836,158836,Enterobacter hormaechei,Enterobacter hormaechei,species,0.0083,fraction_reads,0.0083,158836,1||1224|1236|91347|543|547|158836,25,0,0,25
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,208479,208479,Enterocloster bolteae,Enterocloster bolteae,species,0.00133,fraction_reads,0.00133,208479,1||1239|186801|3085636|186803|2719313|208479,4,0,0,4
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,214473,214473,Staphylococcus nepalensis,Staphylococcus nepalensis,species,0.00033,fraction_reads,0.00033,214473,1||1239|91061|1385|90964|1279|214473,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,214856,214856,Alistipes finegoldii,Alistipes finegoldii,species,0.00863,fraction_reads,0.00863,214856,1||976|200643|171549|171550|239759|214856,26,0,0,26
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,216816,216816,Bifidobacterium longum,Bifidobacterium longum,species,0.00764,fraction_reads,0.00764,216816,1||201174|1760|85004|31953|1678|216816,23,0,0,23
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,239935,239935,Akkermansia muciniphila,Akkermansia muciniphila,species,1.69542,fraction_reads,1.69542,239935,1||74201|203494|48461|1647988|239934|239935,5105,0,0,5105
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,244366,244366,Klebsiella variicola,Klebsiella variicola,species,0.00033,fraction_reads,0.00033,244366,1||1224|1236|91347|543|570|244366,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,246787,246787,Bacteroides cellulosilyticus,Bacteroides cellulosilyticus,species,0.00033,fraction_reads,0.00033,246787,1||976|200643|171549|815|816|246787,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,261299,261299,Intestinibacter bartlettii,Intestinibacter bartlettii,species,0.00199,fraction_reads,0.00199,261299,1||1239|186801|3082720|186804|1505657|261299,6,0,0,6
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,291644,291644,Bacteroides salyersiae,Bacteroides salyersiae,species,0.00166,fraction_reads,0.00166,291644,1||976|200643|171549|815|816|291644,5,0,0,5
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,292800,292800,Flavonifractor plautii,Flavonifractor plautii,species,0.00033,fraction_reads,0.00033,292800,1||1239|186801|186802|216572|946234|292800,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,301301,301301,Roseburia hominis,Roseburia hominis,species,1.56191,fraction_reads,1.56191,301301,1||1239|186801|3085636|186803|841|301301,4703,0,0,4703
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,328812,328812,Parabacteroides goldsteinii,Parabacteroides goldsteinii,species,0.00033,fraction_reads,0.00033,328812,1||976|200643|171549|2005525|375288|328812,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,328813,328813,Alistipes onderdonkii,Alistipes onderdonkii,species,0.00731,fraction_reads,0.00731,328813,1||976|200643|171549|171550|239759|328813,22,0,0,22
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,328814,328814,Alistipes shahii,Alistipes shahii,species,0.00033,fraction_reads,0.00033,328814,1||976|200643|171549|171550|239759|328814,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,333367,333367,Enterocloster asparagiformis,Enterocloster asparagiformis,species,0.00033,fraction_reads,0.00033,333367,1||1239|186801|3085636|186803|2719313|333367,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,338188,338188,Bacteroides finegoldii,Bacteroides finegoldii,species,0.00066,fraction_reads,0.00066,338188,1||976|200643|171549|815|816|338188,2,0,0,2
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,357276,357276,Phocaeicola dorei,Phocaeicola dorei,species,0.00299,fraction_reads,0.00299,357276,1||976|200643|171549|815|909656|357276,9,0,0,9
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,357441,357441,Enterococcus lactis,Enterococcus lactis,species,0.00299,fraction_reads,0.00299,357441,1||1239|91061|186826|81852|1350|357441,9,0,0,9
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,371601,371601,Bacteroides xylanisolvens,Bacteroides xylanisolvens,species,0.02458,fraction_reads,0.02458,371601,1||976|200643|171549|815|816|371601,74,0,0,74
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,395631,395631,Phytobacter diazotrophicus,Phytobacter diazotrophicus,species,0.00731,fraction_reads,0.00731,395631,1||1224|1236|91347|543|447792|395631,22,0,0,22
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,418240,418240,Blautia wexlerae,Blautia wexlerae,species,0.00033,fraction_reads,0.00033,418240,1||1239|186801|3085636|186803|572511|418240,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,423477,423477,Veillonella rogosae,Veillonella rogosae,species,16.05586,fraction_reads,16.05586,423477,1||1239|909932|1843489|31977|29465|423477,48345,0,0,48345
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,456999,456999,Rhizoctonia solani,Rhizoctonia solani,species,0.00033,fraction_reads,0.00033,456999,1||5204|155619|36064|5250|1322061|456999,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,544580,544580,Actinomyces oris,Actinomyces oris,species,0.00199,fraction_reads,0.00199,544580,1||201174|1760|2037|2049|1654|544580,6,0,0,6
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,666563,666563,Aquimarina macrocephali,Aquimarina macrocephali,species,0.00033,fraction_reads,0.00033,666563,1||976|117743|200644|49546|290174|666563,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,674529,674529,Bacteroides faecis,Bacteroides faecis,species,0.08502,fraction_reads,0.08502,674529,1||976|200643|171549|815|816|674529,256,0,0,256
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1297617,1297617,Intestinimonas butyriciproducens,Intestinimonas butyriciproducens,species,0.00199,fraction_reads,0.00199,1297617,1||1239|186801|186802||1392389|1297617,6,0,0,6
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1501392,1501392,Coprobacter secundus,Coprobacter secundus,species,0.00033,fraction_reads,0.00033,1501392,1||976|200643|171549|2005519|1348911|1501392,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1550024,1550024,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,species,0.00033,fraction_reads,0.00033,1550024,1||1239|186801|186802|216572|1905344|1550024,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1740262,1740262,Catenovulum sediminis,Catenovulum sediminis,species,0.00033,fraction_reads,0.00033,1740262,1||1224|1236|135622|72275|1172191|1740262,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1796635,1796635,Longicatena caecimuris,Longicatena caecimuris,species,0.00033,fraction_reads,0.00033,1796635,1||1239|526524|526525|128827|1918536|1796635,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2068655,2068655,Novisyntrophococcus fermenticellae,Novisyntrophococcus fermenticellae,species,0.00033,fraction_reads,0.00033,2068655,1||1239|186801|3085636|186803|2888809|2068655,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2108523,2108523,Lawsonibacter asaccharolyticus,Lawsonibacter asaccharolyticus,species,0.001,fraction_reads,0.001,2108523,1||1239|186801|186802|216572|2172004|2108523,3,0,0,3
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2583452,2583452,Amedibacterium intestinale,Amedibacterium intestinale,species,0.00033,fraction_reads,0.00033,2583452,1||1239|526524|526525|128827|2749267|2583452,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2763023,2763023,Bacteroides hominis,Bacteroides hominis,species,0.00432,fraction_reads,0.00432,2763023,1||976|200643|171549|815|816|2763023,13,0,0,13
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2763667,2763667,Wansuia hejianensis,Wansuia hejianensis,species,0.00033,fraction_reads,0.00033,2763667,1||1239|186801|3085636|186803|2944198|2763667,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2781952,2781952,Citrobacter sp. BDA59-3,Citrobacter sp. BDA59-3,species,0.00033,fraction_reads,0.00033,2781952,1||1224|1236|91347|543|544|2781952,1,0,0,1
