tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,239935,239935,Akkermansia muciniphila,Akkermansia muciniphila,species,1.9905,fraction_reads,1.9905,239935,1||74201|203494|48461|1647988|239934|239935,39389,0,0,39389
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,301301,301301,Roseburia hominis,Roseburia hominis,species,5.69972,fraction_reads,5.69972,301301,1||1239|186801|3085636|186803|841|301301,112789,0,0,112789
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,423477,423477,Veillonella rogosae,Veillonella rogosae,species,16.2099,fraction_reads,16.2099,423477,1||1239|909932|1843489|31977|29465|423477,320770,0,0,320770
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,544580,544580,Actinomyces oris,Actinomyces oris,species,0.0003,fraction_reads,0.0003,544580,1||201174|1760|2037|2049|1654|544580,6,0,0,6
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,3141185,3141185,Faecalibacterium sp. i25-0019-C1,Faecalibacterium sp. i25-0019-C1,species,0.0001,fraction_reads,0.0001,3141185,1||1239|186801|186802|216572|216851|3141185,2,0,0,2
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,561,561,Escherichia,Escherichia,genus,16.23467,fraction_reads,16.23467,561,1||1224|1236|91347|543|561,0,0,321260,321260
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,590,590,Salmonella,Salmonella,genus,0.01678,fraction_reads,0.01678,590,1||1224|1236|91347|543|590,0,0,332,332
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,620,620,Shigella,Shigella,genus,0.00051,fraction_reads,0.00051,620,1||1224|1236|91347|543|620,0,0,10,10
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,816,816,Bacteroides,Bacteroides,genus,19.21533,fraction_reads,19.21533,816,1||976|200643|171549|815|816,0,0,380243,380243
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,838,838,Prevotella,Prevotella,genus,7.62442,fraction_reads,7.62442,838,1||976|200643|171549|171552|838,0,0,150876,150876
