tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1249,1249,Weissella paramesenteroides,Weissella paramesenteroides,species,3e-05,fraction_reads,3e-05,1249,1||1239|91061|186826|33958|46255|1249,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1255,1255,Pediococcus pentosaceus,Pediococcus pentosaceus,species,3e-05,fraction_reads,3e-05,1255,1||1239|91061|186826|33958|1253|1255,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1280,1280,Staphylococcus aureus,Staphylococcus aureus,species,3e-05,fraction_reads,3e-05,1280,1||1239|91061|1385|90964|1279|1280,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1282,1282,Staphylococcus epidermidis,Staphylococcus epidermidis,species,0.00023,fraction_reads,0.00023,1282,1||1239|91061|1385|90964|1279|1282,7,0,0,7,0.00033185159192815735,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1290,1290,Staphylococcus hominis,Staphylococcus hominis,species,3e-05,fraction_reads,3e-05,1290,1||1239|91061|1385|90964|1279|1290,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1296,1296,Mammaliicoccus sciuri,Mammaliicoccus sciuri,species,3e-05,fraction_reads,3e-05,1296,1||1239|91061|1385|90964|2803850|1296,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1307,1307,Streptococcus suis,Streptococcus suis,species,3e-05,fraction_reads,3e-05,1307,1||1239|91061|186826|1300|1301|1307,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1351,1351,Enterococcus faecalis,Enterococcus faecalis,species,0.00101,fraction_reads,0.00101,1351,1||1239|91061|186826|81852|1350|1351,30,0,0,30,0.0014572613384671257,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1352,1352,Enterococcus faecium,Enterococcus faecium,species,0.00064,fraction_reads,0.00064,1352,1||1239|91061|186826|81852|1350|1352,19,0,0,19,0.0009234131253653074,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1353,1353,Enterococcus gallinarum,Enterococcus gallinarum,species,0.0002,fraction_reads,0.0002,1353,1||1239|91061|186826|81852|1350|1353,6,0,0,6,0.00028856660167665856,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1396,1396,Bacillus cereus,Bacillus cereus,species,0.00164,fraction_reads,0.00164,1396,1||1239|91061|1385|186817|1386|1396,49,0,0,49,0.0023662461337486,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1406,1406,Paenibacillus polymyxa,Paenibacillus polymyxa,species,3e-05,fraction_reads,3e-05,1406,1||1239|91061|1385|186822|44249|1406,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1492,1492,Clostridium butyricum,Clostridium butyricum,species,3e-05,fraction_reads,3e-05,1492,1||1239|186801|186802|31979|1485|1492,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1496,1496,Clostridioides difficile,Clostridioides difficile,species,1.21958,fraction_reads,1.21958,1496,1||1239|186801|3082720|186804|1870884|1496,36333,0,0,36333,1.7596502803640963,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1502,1502,Clostridium perfringens,Clostridium perfringens,species,0.0001,fraction_reads,0.0001,1502,1||1239|186801|186802|31979|1485|1502,3,0,0,3,0.00014428330083832928,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1509,1509,Clostridium sporogenes,Clostridium sporogenes,species,3e-05,fraction_reads,3e-05,1509,1||1239|186801|186802|31979|1485|1509,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1522,1522,[Clostridium] innocuum,[Clostridium] innocuum,species,0.0004,fraction_reads,0.0004,1522,1||1239|186801|186802|31979|1485|1522,12,0,0,12,0.0005771332033533171,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1547,1547,Thomasclavelia ramosa,Thomasclavelia ramosa,species,3e-05,fraction_reads,3e-05,1547,1||1239|526524|526525|2810280|3025755|1547,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1590,1590,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,species,0.00013,fraction_reads,0.00013,1590,1||1239|91061|186826|33958|2767842|1590,4,0,0,4,0.00018756829108982804,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1613,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,6.86037,fraction_reads,6.86037,1613,1||1239|91061|186826|33958|2742598|1613,204380,0,0,204380,9.898368285722489,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1639,1639,Listeria monocytogenes,Listeria monocytogenes,species,0.00013,fraction_reads,0.00013,1639,1||1239|91061|1385|186820|1637|1639,4,0,0,4,0.00018756829108982804,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,2.66899,fraction_reads,2.66899,1680,1||201174|1760|85004|31953|1678|1680,79513,0,0,79513,3.850906871044925,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1747,1747,Cutibacterium acnes,Cutibacterium acnes,species,3e-05,fraction_reads,3e-05,1747,1||201174|1760|85009|31957|1912216|1747,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2173,2173,Methanobrevibacter smithii,Methanobrevibacter smithii,species,0.0671,fraction_reads,0.0671,2173,1||28890|183925|2158|2159|2172|2173,1999,0,0,1999,0.09681409486251896,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,4932,4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,0.62273,fraction_reads,0.62273,4932,1||4890|4891|4892|4893|4930|4932,18552,0,0,18552,0.8984953993105279,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,5147,5147,Sordaria macrospora,Sordaria macrospora,species,7e-05,fraction_reads,7e-05,5147,1||4890|147550|5139|5148|5146|5147,2,0,0,2,0.00010099831058683049,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,5207,5207,Cryptococcus neoformans,Cryptococcus neoformans,species,7e-05,fraction_reads,7e-05,5207,1||5204|155616|5234|1884633|5206|5207,2,0,0,2,0.00010099831058683049,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,5476,5476,Candida albicans,Candida albicans,species,0.80077,fraction_reads,0.80077,5476,1||4890|3239874|2916678|766764|5475|5476,23856,0,0,23856,1.1553773881230893,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,27291,27291,Saccharomyces paradoxus,Saccharomyces paradoxus,species,0.0006,fraction_reads,0.0006,27291,1||4890|4891|4892|4893|4930|27291,18,0,0,18,0.0008656998050299757,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,28026,28026,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum,species,7e-05,fraction_reads,7e-05,28026,1||201174|1760|85004|31953|1678|28026,2,0,0,2,0.00010099831058683049,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,0.00161,fraction_reads,0.00161,28116,1||976|200643|171549|815|816|28116,48,0,0,48,0.0023229611434971015,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,28128,28128,Prevotella corporis,Prevotella corporis,species,4.50771,fraction_reads,4.50771,28128,1||976|200643|171549|171552|838|28128,134291,0,0,134291,6.503872780219453,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,28901,28901,Salmonella enterica,Salmonella enterica,species,0.01027,fraction_reads,0.01027,28901,1||1224|1236|91347|543|590|28901,306,0,0,306,0.014817894996096415,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,29347,29347,[Clostridium] scindens,[Clostridium] scindens,species,7e-05,fraction_reads,7e-05,29347,1||1239|186801|3085636|186803|1506553|29347,2,0,0,2,0.00010099831058683049,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,29360,29360,Cellulosilyticum lentocellum,Cellulosilyticum lentocellum,species,3e-05,fraction_reads,3e-05,29360,1||1239|186801|3085636|3018741|698776|29360,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,29466,29466,Veillonella parvula,Veillonella parvula,species,0.00037,fraction_reads,0.00037,29466,1||1239|909932|1843489|31977|29465|29466,11,0,0,11,0.0005338482131018183,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,33038,33038,Mediterraneibacter gnavus,Mediterraneibacter gnavus,species,0.00054,fraction_reads,0.00054,33038,1||1239|186801|3085636|186803|2316020|33038,16,0,0,16,0.0007791298245269781,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,33039,33039,[Ruminococcus] torques,[Ruminococcus] torques,species,3e-05,fraction_reads,3e-05,33039,1||1239|186801|3085636|186803|2316020|33039,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,33889,33889,Brevibacterium casei,Brevibacterium casei,species,3e-05,fraction_reads,3e-05,33889,1||201174|1760|85006|85019|1696|33889,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,36822,36822,Gordonia rubripertincta,Gordonia rubripertincta,species,3e-05,fraction_reads,3e-05,36822,1||201174|1760|85007|85026|2053|36822,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,36914,36914,Lodderomyces elongisporus,Lodderomyces elongisporus,species,7e-05,fraction_reads,7e-05,36914,1||4890|3239874|2916678|766764|36913|36914,2,0,0,2,0.00010099831058683049,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,37727,37727,Talaromyces marneffei,Talaromyces marneffei,species,7e-05,fraction_reads,7e-05,37727,1||4890|147545|5042|28568|5094|37727,2,0,0,2,0.00010099831058683049,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,37734,37734,Enterococcus casseliflavus,Enterococcus casseliflavus,species,3e-05,fraction_reads,3e-05,37734,1||1239|91061|186826|81852|1350|37734,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,39488,39488,Anaerobutyricum hallii,Anaerobutyricum hallii,species,3e-05,fraction_reads,3e-05,39488,1||1239|186801|3085636|186803|2569097|39488,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,39491,39491,Agathobacter rectalis,Agathobacter rectalis,species,0.00141,fraction_reads,0.00141,39491,1||1239|186801|3085636|186803|1766253|39491,42,0,0,42,0.002034394541820443,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,40520,40520,Blautia obeum,Blautia obeum,species,7e-05,fraction_reads,7e-05,40520,1||1239|186801|3085636|186803|572511|40520,2,0,0,2,0.00010099831058683049,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,43771,43771,Corynebacterium urealyticum,Corynebacterium urealyticum,species,3e-05,fraction_reads,3e-05,43771,1||201174|1760|85007|1653|1716|43771,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,44252,44252,Paenibacillus macerans,Paenibacillus macerans,species,3e-05,fraction_reads,3e-05,44252,1||1239|91061|1385|186822|44249|44252,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,46503,46503,Parabacteroides merdae,Parabacteroides merdae,species,0.00104,fraction_reads,0.00104,46503,1||976|200643|171549|2005525|375288|46503,31,0,0,31,0.0015005463287186243,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,46506,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.00111,fraction_reads,0.00111,46506,1||976|200643|171549|815|816|46506,33,0,0,33,0.0016015446393054552,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,47678,47678,Bacteroides caccae,Bacteroides caccae,species,7e-05,fraction_reads,7e-05,47678,1||976|200643|171549|815|816|47678,2,0,0,2,0.00010099831058683049,0.6930808999999999
