tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,lineage_raw,query_name,query_md5,query_filename,fraction_raw,f_weighted_raw,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes,norm_abund,classified_fraction
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,292800,Flavonifractor plautii,Flavonifractor plautii,species,1.0119988553216301,abund_weighted,0.0101199885532163,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0061296067655124,0.0101199885532163,3927000,0.8484511809936395,10312067,1.0832404665538469,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,216816,Bifidobacterium longum,Bifidobacterium longum,species,1.13016139247349,abund_weighted,0.0113016139247349,Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0061061934470804,0.0113016139247349,3912000,0.8483464441509333,10312067,1.2097212834050546,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,2763667,Lachnospiraceae bacterium NSJ-29,Lachnospiraceae bacterium NSJ-29,species,0.9206495652132499,abund_weighted,0.0092064956521325,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;;Lachnospiraceae bacterium NSJ-29,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0060016139580839,0.0092064956521325,3845000,0.8478738238691077,10312067,0.9854604669856503,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,411486,Clostridium sp. M62/1,Clostridium sp. M62/1,species,0.9593227041678399,abund_weighted,0.0095932270416784,Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium sp. M62/1,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0057393847916448,0.0095932270416784,3677000,0.8466527700642708,10312067,1.0268560761446723,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.8914119739524501,abund_weighted,0.0089141197395245,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.005730019464272,0.0089141197395245,3671000,0.846608169084893,10312067,0.9541646390983809,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,39488,Anaerobutyricum hallii,Anaerobutyricum hallii,species,0.88256796624769,abund_weighted,0.0088256796624769,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerobutyricum;Anaerobutyricum hallii,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.005361649920941,0.0088256796624769,3435000,0.8447954439987676,10312067,0.9446980404140716,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,328813,Alistipes onderdonkii,Alistipes onderdonkii,species,0.85613291690211,abund_weighted,0.0085613291690211,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes onderdonkii,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0053148232840769,0.0085613291690211,3405000,0.8445564283375196,10312067,0.9164020447853224,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,169435,Anaerotruncus colihominis,Anaerotruncus colihominis,species,0.8088485072876199,abund_weighted,0.0080884850728762,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Anaerotruncus;Anaerotruncus colihominis,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0052539486561535,0.0080884850728762,3366000,0.8442426428320184,10312067,0.8657889579599971,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,2763672,Lachnospiraceae bacterium sunii NSJ-8,Lachnospiraceae bacterium sunii NSJ-8,species,0.8308033685196101,abund_weighted,0.0083080336851961,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;;Lachnospiraceae bacterium sunii NSJ-8,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0052305353377215,0.0083080336851961,3351000,0.8441210183694225,10312067,0.8892893739920958,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,1099853,Coprobacter fastidiosus,Coprobacter fastidiosus,species,0.7939145469089699,abund_weighted,0.0079391454690897,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0052133655708713,0.0079391454690897,3340000,0.8440314917818353,10312067,0.8498036926378104,0.9342328749415535
