tool,db,tool_db,data_type,project,technology,sample,raw_path,rows,species_rows,genus_rows,species_no_taxid,genus_no_taxid,species_value_sum,genus_value_sum,out_path
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/sylph-results/D6331_Qiagen.fastq.sylphmpa,59,33,26,0,0,99.99959999999999,99.9996,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sylph_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/sylph-results/D6331_Zymo.fastq.sylphmpa,55,31,24,0,0,99.99980000000001,99.9998,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sylph_unified/ZymoMockD6331_ont_D6331_Zymo.csv
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Kraken2-results/SRR13128013_report.tsv,389,292,97,0,0,98.06805390292378,99.31684803811704,results/prepared/20260713_014947/analysis-prep/tables/abundance/Kraken2_unified/ZymoMockD6331_pacbio_SRR13128013.csv
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Kraken2-results/SRR13128014_report.tsv,353,270,83,0,0,98.02122644846608,99.26917222712966,results/prepared/20260713_014947/analysis-prep/tables/abundance/Kraken2_unified/ZymoMockD6331_pacbio_SRR13128014.csv
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Centrifuge-results/SRR13128013_report.tsv,2528,1843,685,0,0,99.99998508011032,99.99998508011032,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuge_unified/ZymoMockD6331_pacbio_SRR13128013.csv
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Centrifuge-results/SRR13128014_report.tsv,2313,1676,637,0,0,100.00001797950023,100.0000179795002,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuge_unified/ZymoMockD6331_pacbio_SRR13128014.csv
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Centrifuger-results/SRR13128013_report.tsv,145,96,49,0,0,100.0,99.99999999999999,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuger_unified/ZymoMockD6331_pacbio_SRR13128013.csv
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Centrifuger-results/SRR13128014_report.tsv,133,89,44,0,0,100.00000000000001,100.0,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuger_unified/ZymoMockD6331_pacbio_SRR13128014.csv
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/ganon2-results/SRR13128013.tre,56,32,24,0,0,99.67281,99.67281,results/prepared/20260713_014947/analysis-prep/tables/abundance/Ganon2_unified/ZymoMockD6331_pacbio_SRR13128013.csv
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/ganon2-results/SRR13128014.tre,53,31,22,0,0,99.72514000000001,99.72514000000001,results/prepared/20260713_014947/analysis-prep/tables/abundance/Ganon2_unified/ZymoMockD6331_pacbio_SRR13128014.csv
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/sourmash-results/SRR13128013-report.csv.summarized.csv,33,17,16,0,0,96.23010685027916,96.23010685027917,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sourmash_unified/ZymoMockD6331_pacbio_SRR13128013.csv
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/sourmash-results/SRR13128014-report.csv.summarized.csv,32,16,16,0,0,96.38935465716122,96.38935465716122,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sourmash_unified/ZymoMockD6331_pacbio_SRR13128014.csv
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/sylph-results/SRR13128013.fastq.sylphmpa,34,17,17,0,0,100.0,100.0,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sylph_unified/ZymoMockD6331_pacbio_SRR13128013.csv
