taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
133	133	Methylocystis	Methylocystis	genus	0.0	abund	0.0	4258659	49	39	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
138	138	Borrelia	Borrelia	genus	0.0	abund	0.0	1132758	68	36	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
146	146	Spirochaeta	Spirochaeta	genus	0.0	abund	0.0	2728401	4	3	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
157	157	Treponema	Treponema	genus	0.0	abund	0.0	3159148	285	215	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
171	171	Leptospira	Leptospira	genus	0.0	abund	0.0	6903408	129	49	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
179	179	Leptospirillum	Leptospirillum	genus	0.0	abund	0.0	2483050	14	7	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
187	187	Aquaspirillum	Aquaspirillum	genus	0.0	abund	0.0	3936251	5	5	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
191	191	Azospirillum	Azospirillum	genus	0.0	abund	0.0	7548494	86	60	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
194	194	Campylobacter	Campylobacter	genus	0.0	abund	0.0	1646621	405	265	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
209	209	Helicobacter	Helicobacter	genus	0.0	abund	0.0	1616718	145	99	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
222	222	Achromobacter	Achromobacter	genus	0.0	abund	0.0	7078884	107	60	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
226	226	Alteromonas	Alteromonas	genus	0.0	abund	0.0	4474433	47	32	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
234	234	Brucella	Brucella	genus	0.0	abund	0.0	3440141	85	47	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
237	237	Flavobacterium	Flavobacterium	genus	0.0	abund	0.0	3990464	3833	3288	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
262	262	Francisella	Francisella	genus	0.0	abund	0.0	2089068	97	53	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
265	265	Paracoccus	Paracoccus	genus	0.0	abund	0.0	3876202	109	92	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
270	270	Thermus	Thermus	genus	0.0	abund	0.0	2213690	27	15	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
279	279	Xanthobacter	Xanthobacter	genus	0.0	abund	0.0	5933998	17	17	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
283	283	Comamonas	Comamonas	genus	0.0	abund	0.0	4839870	83	56	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
286	286	Pseudomonas	Pseudomonas	genus	0.0006000000000000001	abund	6e-06	6622108	2059	1211	genus	0.0006000004200002941	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
338	338	Xanthomonas	Xanthomonas	genus	0.0	abund	0.0	7875508	169	51	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
352	352	Azotobacter	Azotobacter	genus	0.0	abund	0.0	5268702	22	5	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
357	357	Agrobacterium	Agrobacterium	genus	0.0	abund	0.0	5924932	174	130	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
374	374	Bradyrhizobium	Bradyrhizobium	genus	0.0	abund	0.0	8934883	821	699	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
379	379	Rhizobium	Rhizobium	genus	0.0	abund	0.0	6583353	451	207	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
404	404	Methylobacillus	Methylobacillus	genus	0.0	abund	0.0	2965751	1	1	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
407	407	Methylobacterium	Methylobacterium	genus	0.0	abund	0.0	6489463	101	55	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
413	413	Methylococcus	Methylococcus	genus	0.0	abund	0.0	3905288	14	7	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
416	416	Methylomonas	Methylomonas	genus	0.0	abund	0.0	4861489	116	95	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
425	425	Methylosinus	Methylosinus	genus	0.0	abund	0.0	4797265	30	30	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
429	429	Methylobacter	Methylobacter	genus	0.0	abund	0.0	4906626	7	7	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
434	434	Acetobacter	Acetobacter	genus	0.0	abund	0.0	3355738	37	25	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
441	441	Gluconobacter	Gluconobacter	genus	0.0	abund	0.0	3299618	122	120	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
445	445	Legionella	Legionella	genus	0.0	abund	0.0	3816103	227	174	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
465	465	Tatlockia	Tatlockia	genus	0.0	abund	0.0	6456263	19	14	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
469	469	Acinetobacter	Acinetobacter	genus	0.0	abund	0.0	4620169	1528	569	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
475	475	Moraxella	Moraxella	genus	0.0	abund	0.0	5257819	59	27	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
482	482	Neisseria	Neisseria	genus	9.999999999999999e-06	abund	1e-07	2541768	160	93	genus	1.0000007000004901e-05	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
497	497	Psychrobacter	Psychrobacter	genus	0.0	abund	0.0	3161277	40	29	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
499	499	Thermomicrobium	Thermomicrobium	genus	0.0	abund	0.0	2000791	1	1	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
507	507	Alcaligenes	Alcaligenes	genus	0.0	abund	0.0	4189078	63	24	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
517	517	Bordetella	Bordetella	genus	0.0	abund	0.0	6021434	104	37	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
522	522	Acidiphilium	Acidiphilium	genus	0.0	abund	0.0	3482438	10	6	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
532	532	Beijerinckia	Beijerinckia	genus	0.0	abund	0.0	4343672	4	4	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
535	535	Chromobacterium	Chromobacterium	genus	0.0	abund	0.0	4946321	59	39	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
538	538	Eikenella	Eikenella	genus	0.0	abund	0.0	2214233	14	13	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
541	541	Zymomonas	Zymomonas	genus	0.0	abund	0.0	2078303	2	2	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
544	544	Citrobacter	Citrobacter	genus	0.35200000000000004	abund	0.00352	6514724	26616	18917	genus	0.3520002464001725	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
547	547	Enterobacter	Enterobacter	genus	0.00331	abund	3.31e-05	5591911	600	415	genus	0.0033100023170016223	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
551	551	Erwinia	Erwinia	genus	0.0	abund	0.0	6199367	70	32	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
561	561	Escherichia	Escherichia	genus	1.47112	abund	0.0147112	5936160	102208	77647	genus	1.4711210297847208	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
568	568	Hafnia	Hafnia	genus	0.0	abund	0.0	4735921	17	14	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
570	570	Klebsiella	Klebsiella	genus	0.00743	abund	7.43e-05	6259311	1662	1147	genus	0.007430005201003642	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
579	579	Kluyvera	Kluyvera	genus	0.0	abund	0.0	6676087	23	20	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
581	581	Morganella	Morganella	genus	0.0	abund	0.0	3777898	59	46	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
583	583	Proteus	Proteus	genus	0.0	abund	0.0	4453826	325	144	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
586	586	Providencia	Providencia	genus	0.0	abund	0.0	6195469	168	66	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
590	590	Salmonella	Salmonella	genus	0.00035999999999999997	abund	3.6e-06	5546245	332	277	genus	0.0003600002520001764	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
613	613	Serratia	Serratia	genus	0.0	abund	0.0	8716508	347	237	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
620	620	Shigella	Shigella	genus	0.01565	abund	0.0001565	4994147	3960	3809	genus	0.015650010955007673	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
626	626	Xenorhabdus	Xenorhabdus	genus	0.0	abund	0.0	4219736	50	45	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
629	629	Yersinia	Yersinia	genus	0.0	abund	0.0	5857893	278	246	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
635	635	Edwardsiella	Edwardsiella	genus	0.0	abund	0.0	3885346	33	15	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
637	637	Arsenophonus	Arsenophonus	genus	0.0	abund	0.0	5116868	52	45	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
642	642	Aeromonas	Aeromonas	genus	0.0	abund	0.0	5280590	222	100	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
657	657	Photobacterium	Photobacterium	genus	0.0	abund	0.0	7214277	104	84	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
662	662	Vibrio	Vibrio	genus	0.0	abund	0.0	5553046	989	496	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
702	702	Plesiomonas	Plesiomonas	genus	0.0	abund	0.0	3951529	22	21	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
713	713	Actinobacillus	Actinobacillus	genus	0.0	abund	0.0	2807210	40	18	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
724	724	Haemophilus	Haemophilus	genus	0.0	abund	0.0	2147820	397	35	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
745	745	Pasteurella	Pasteurella	genus	0.0	abund	0.0	2430136	60	39	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
768	768	Anaplasma	Anaplasma	genus	0.0	abund	0.0	1367035	10	1	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
773	773	Bartonella	Bartonella	genus	0.0	abund	0.0	3124398	180	132	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
776	776	Coxiella	Coxiella	genus	0.0	abund	0.0	1567833	70	16	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
780	780	Rickettsia	Rickettsia	genus	0.0	abund	0.0	1241129	47	28	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
801	801	Symbiopectobacterium	Symbiopectobacterium	genus	0.0	abund	0.0	4919616	5	5	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
810	810	Chlamydia	Chlamydia	genus	0.0	abund	0.0	1088737	22	10	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
816	816	Bacteroides	Bacteroides	genus	55.399319999999996	abund	0.5539932	5769181	5074614	3234667	genus	55.39935877955115	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
830	830	Butyrivibrio	Butyrivibrio	genus	0.0	abund	0.0	3656343	96	96	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
832	832	Fibrobacter	Fibrobacter	genus	0.0	abund	0.0	3810604	3	0	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
836	836	Porphyromonas	Porphyromonas	genus	0.0	abund	0.0	2306849	995	729	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
838	838	Prevotella	Prevotella	genus	0.05084999999999999	abund	0.0005085	3805857	11398	9514	genus	0.05085003559502491	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
841	841	Roseburia	Roseburia	genus	0.0009099999999999999	abund	9.1e-06	3968065	318	111	genus	0.0009100006370004458	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
846	846	Oxalobacter	Oxalobacter	genus	0.0	abund	0.0	6215592	22	7	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
848	848	Fusobacterium	Fusobacterium	genus	0.0	abund	0.0	2977410	440	297	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
862	862	Syntrophomonas	Syntrophomonas	genus	0.0	abund	0.0	2915996	5	5	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
864	864	Pectinatus	Pectinatus	genus	0.0	abund	0.0	2817551	3	3	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
869	869	Dichelobacter	Dichelobacter	genus	0.0	abund	0.0	1366728	3	3	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
872	872	Desulfovibrio	Desulfovibrio	genus	0.0	abund	0.0	3466113	1845	1455	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
890	890	Desulfuromonas	Desulfuromonas	genus	0.0	abund	0.0	3926452	18	18	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
893	893	Desulfobulbus	Desulfobulbus	genus	0.0	abund	0.0	3227056	59	50	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
896	896	Desulfococcus	Desulfococcus	genus	0.0	abund	0.0	4429519	14	0	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
898	898	Desulfomicrobium	Desulfomicrobium	genus	0.0	abund	0.0	3513733	118	100	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
904	904	Acidaminococcus	Acidaminococcus	genus	1.47106	abund	0.0147106	2396004	41791	16682	genus	1.471061029742721	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
