taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
44258	44258	                Caloramator	Caloramator	genus	0.0	abund	0.0	66	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
1755832	1755832	                Haloimpatiens	Haloimpatiens	genus	0.0	abund	0.0	64	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
420345	420345	                Lactonifactor	Lactonifactor	genus	0.0	abund	0.0	50	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
1848399	1848399	                Crassaminicella	Crassaminicella	genus	0.0	abund	0.0	31	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
1266	1266	                Sarcina	Sarcina	genus	0.0	abund	0.0	13	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
1434026	1434026	                Oceanirhabdus	Oceanirhabdus	genus	0.0	abund	0.0	12	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
1769729	1769729	                Hathewaya	Hathewaya	genus	0.0	abund	0.0	9	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
49082	49082	                Candidatus Arthromitus	Candidatus Arthromitus	genus	0.0	abund	0.0	7	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
1155385	1155385	                Proteiniclasticum	Proteiniclasticum	genus	0.0	abund	0.0	5	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
946234	946234	                Flavonifractor	Flavonifractor	genus	0.08	abund	0.08	2237	0	0.0865426222414539	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
2842531	2842531	                Solibaculum	Solibaculum	genus	0.03	abund	0.03	955	0	0.032453483340545215	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
216851	216851	                Faecalibacterium	Faecalibacterium	genus	0.02	abund	0.02	610	80	0.021635655560363475	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
459786	459786	                Oscillibacter	Oscillibacter	genus	0.02	abund	0.02	472	0	0.021635655560363475	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
2591381	2591381	                Dysosmobacter	Dysosmobacter	genus	0.01	abund	0.01	323	0	0.010817827780181737	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
244127	244127	                Anaerotruncus	Anaerotruncus	genus	0.01	abund	0.01	288	0	0.010817827780181737	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
2892397	2892397	                Pusillibacter	Pusillibacter	genus	0.01	abund	0.01	233	0	0.010817827780181737	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
2172004	2172004	                Lawsonibacter	Lawsonibacter	genus	0.0	abund	0.0	146	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
1263	1263	                Ruminococcus	Ruminococcus	genus	0.0	abund	0.0	126	2	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
1017280	1017280	                Pseudoflavonifractor	Pseudoflavonifractor	genus	0.0	abund	0.0	112	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
2892396	2892396	                Vescimonas	Vescimonas	genus	0.0	abund	0.0	61	5	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
35829	35829	                Acetivibrio	Acetivibrio	genus	0.0	abund	0.0	60	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
1905344	1905344	                Ruthenibacterium	Ruthenibacterium	genus	0.0	abund	0.0	59	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
1508657	1508657	                Ruminiclostridium	Ruminiclostridium	genus	0.0	abund	0.0	53	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
292632	292632	                Subdoligranulum	Subdoligranulum	genus	0.0	abund	0.0	44	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
3393728	3393728	                Owariibacterium	Owariibacterium	genus	0.0	abund	0.0	33	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
2304687	2304687	                Petroclostridium	Petroclostridium	genus	0.0	abund	0.0	24	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
2834348	2834348	                Caproicibacterium	Caproicibacterium	genus	0.0	abund	0.0	23	15	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
2304691	2304691	                Thermoclostridium	Thermoclostridium	genus	0.0	abund	0.0	18	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
