taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
43356	43356	Kutzneria	Kutzneria	genus	0.0	abund	0.0	1035562	25	16	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
43668	43668	Brachybacterium	Brachybacterium	genus	2.26946e-65	abund	2.2694600000000002e-67	10888314	230	112	2.2694611580319567e-65	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
43673	43673	Jonesia	Jonesia	genus	0.0	abund	0.0	1035568	7	0	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
43676	43676	Promicromonospora	Promicromonospora	genus	0.0	abund	0.0	1035560	11	7	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
43773	43773	Syntrophus	Syntrophus	genus	0.0	abund	0.0	1035556	46	26	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
43927	43927	Halobaculum	Halobaculum	genus	0.0	abund	0.0	0	135	61	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
43947	43947	Tolumonas	Tolumonas	genus	0.0	abund	0.0	7414959	48	34	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
44000	44000	Caldicellulosiruptor	Caldicellulosiruptor	genus	0.0	abund	0.0	1035540	229	122	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
44011	44011	Ferrimonas	Ferrimonas	genus	0.0	abund	0.0	1035570	46	25	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
44013	44013	Polynucleobacter	Polynucleobacter	genus	0.0	abund	0.0	1035557	1773	906	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
