taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
547	547	Enterobacter	Enterobacter	genus	0.00278	abund	0.00278	547	1||1224|1236|91347|543|547	0	0	316	316	0.004121422442242267	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
551	551	Erwinia	Erwinia	genus	5e-05	abund	5e-05	551	1||1224|1236|91347|1903409|551	0	0	5	5	7.41263029180264e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
561	561	Escherichia	Escherichia	genus	0.69959	abund	0.69959	561	1||1224|1236|91347|543|561	0	0	80443	80443	1.0371604051684418	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
570	570	Klebsiella	Klebsiella	genus	0.01533	abund	0.01533	570	1||1224|1236|91347|543|570	0	0	1918	1918	0.02272712447466689	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
581	581	Morganella	Morganella	genus	0.00035	abund	0.00035	581	1||1224|1236|91347|1903414|581	0	0	38	38	0.0005188841204261847	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
583	583	Proteus	Proteus	genus	8e-05	abund	8e-05	583	1||1224|1236|91347|1903414|583	0	0	8	8	0.00011860208466884224	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
586	586	Providencia	Providencia	genus	1e-05	abund	1e-05	586	1||1224|1236|91347|1903414|586	0	0	1	1	1.482526058360528e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
590	590	Salmonella	Salmonella	genus	0.00163	abund	0.00163	590	1||1224|1236|91347|543|590	0	0	184	184	0.0024165174751276607	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
613	613	Serratia	Serratia	genus	3e-05	abund	3e-05	613	1||1224|1236|91347|1903411|613	0	0	3	3	4.447578175081584e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
620	620	Shigella	Shigella	genus	0.00076	abund	0.00076	620	1||1224|1236|91347|543|620	0	0	87	87	0.0011267198043540011	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
629	629	Yersinia	Yersinia	genus	1e-05	abund	1e-05	629	1||1224|1236|91347|1903411|629	0	0	1	1	1.482526058360528e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
635	635	Edwardsiella	Edwardsiella	genus	1e-05	abund	1e-05	635	1||1224|1236|91347|1903412|635	0	0	1	1	1.482526058360528e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
637	637	Arsenophonus	Arsenophonus	genus	1e-05	abund	1e-05	637	1||1224|1236|91347|1903414|637	0	0	1	1	1.482526058360528e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
642	642	Aeromonas	Aeromonas	genus	1e-05	abund	1e-05	642	1||1224|1236|135624|84642|642	0	0	1	1	1.482526058360528e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
657	657	Photobacterium	Photobacterium	genus	1e-05	abund	1e-05	657	1||1224|1236|135623|641|657	0	0	1	1	1.482526058360528e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
662	662	Vibrio	Vibrio	genus	5e-05	abund	5e-05	662	1||1224|1236|135623|641|662	0	0	5	5	7.41263029180264e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
724	724	Haemophilus	Haemophilus	genus	2e-05	abund	2e-05	724	1||1224|1236|135625|712|724	0	0	1	1	2.965052116721056e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
816	816	Bacteroides	Bacteroides	genus	38.73659	abund	38.73659	816	1||976|200643|171549|815|816	0	0	4636648	4636648	57.428004087027844	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
830	830	Butyrivibrio	Butyrivibrio	genus	6e-05	abund	6e-05	830	1||1239|186801|3085636|186803|830	0	0	6	6	8.895156350163168e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
836	836	Porphyromonas	Porphyromonas	genus	0.00031	abund	0.00031	836	1||976|200643|171549|171551|836	0	0	16	16	0.00045958307809176364	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
838	838	Prevotella	Prevotella	genus	0.01078	abund	0.01078	838	1||976|200643|171549|171552|838	0	0	782	782	0.015981630909126493	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
841	841	Roseburia	Roseburia	genus	0.00036	abund	0.00036	841	1||1239|186801|3085636|186803|841	0	0	30	30	0.0005337093810097901	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
848	848	Fusobacterium	Fusobacterium	genus	0.00136	abund	0.00136	848	1||32066|203490|203491|203492|848	0	0	71	71	0.0020162354393703182	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
904	904	Acidaminococcus	Acidaminococcus	genus	0.5984	abund	0.5984	904	1||1239|909932|1843488|909930|904	0	0	29980	29980	0.8871435933229399	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
906	906	Megasphaera	Megasphaera	genus	0.00055	abund	0.00055	906	1||1239|909932|1843489|31977|906	0	0	30	30	0.0008153893320982903	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
